"Taxon Name", "Synonym", "Name According to"
"Bromus pumpellianus subsp. pumpellianus", "Bromus pumpellianus Scribner", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York."
"Calamagrostis cinnoides", "Calamagrostis canadensis (Michaux) Palisot de Beauvois var. canadensis", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York."
"Calamagrostis cinnoides", "Greeneochloa coarctata P.M. Peterson, Soreng, Romasch. & Barberá", "Peterson, P.M., R.J. Soreng, K. Romaschenko, P. Barberá, A. Quintanar, and C. Aedo. 2019. New combinations and new names in American Cinnagrostis, Peyritschia, and Deschampsia, and three new genera: Greeneochloa, Laegaardia, and Paramochloa (Poeae, Poaceae). Phytoneuron 2019-39: 1–23"
"Calamovilfa longifolia", "Sporobolus rigidus (Buckley) P.M. Peterson var. rigidus", "Peterson P.M., K. Romaschenko, Y.H. Arrieta & J.M. Saarela. 2014. A molecular phylogeny and new subgeneric classification of Sporobolus (Poaceae: Chloridoideae: Sporobolinae). Taxon 63 :1212–1243"
"Calamovilfa longifolia var. longifolia", "Sporobolus rigidus (Buckley) P.M. Peterson var. rigidus", "Peterson P.M., K. Romaschenko, Y.H. Arrieta & J.M. Saarela. 2014. A molecular phylogeny and new subgeneric classification of Sporobolus (Poaceae: Chloridoideae: Sporobolinae). Taxon 63 :1212–1243"
"Calamovilfa longifolia var. magna", "Sporobolus rigidus var. magnus (Scribner & Merrill) P.M. Peterson", "Peterson P.M., K. Romaschenko, Y.H. Arrieta & J.M. Saarela. 2014. A molecular phylogeny and new subgeneric classification of Sporobolus (Poaceae: Chloridoideae: Sporobolinae). Taxon 63 :1212–1243"
"Carex bicknellii", "Carex annectens (E.P. Bicknell) E.P. Bicknell", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York."
"Carex bigelowii", "Carex ×quebecensis Lepage", "Cayouette, J. & P.M. Catling. 1992. Hybridization in the genus Carex with special reference to North America. Botanical Review 58 (4): 351-440."
"Carex divulsa subsp. divulsa", "Carex divulsa Stokes", "Molina, A., C. Acedo & F. Llamas. 2008. Taxonomy and new taxa of the Carex divulsa aggregate in Eurasia (section Phaestoglochin, Cyperaceae). Botanical Journal of the Linnean Society 156: 385–409"
"Carex jamesii", "Carex nebrascensis Dewey", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York."
"Carex lenticularis var. lenticularis", "Carex lenticularis Michaux", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York."
"Carex lucorum var. lucorum", "Carex lucorum Willdenow ex Link", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York."
"Carex maritima", "Carex paleacea Schreber ex Wahlenberg", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York."
"Carex microglochin subsp. microglochin", "Carex microglochin Wahlenberg", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York."
"Carex norvegica", "Carex mackenziei V.I. Kreczetowicz", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York."
"Carex rosea", "Carex radiata (Wahlenberg) Small", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York."
"Carex rostrata", "Carex michauxiana Boeckeler", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York."
"Carex scoparia var. scoparia", "Carex scoparia Schkuhr ex Willdenow", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York."
"Carex tenera var. echinodes", "Carex echinodes (Fernald) P.E. Rothrock, Reznicek & Hipp", "Rothrock, P.E., A.A. Reznicek & A.L. Hipp. 2009. Taxonomic study of the Carex tenera group (Cyperaceae). Systematic Botany 34(2): 297-311."
"Carex tenera var. tenera", "Carex tenera Dewey", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York."
"Chenopodium bonus-henricus", "Blitum bonus-henricus (Linnaeus) Reichenbach", "Fuentes-Bazan S., P. Uotila & T. Borsch. 2012. A novel phylogeny-based generic classification for Chenopodium sensu lato, and a tribal rearrangement of Chenopodioideae (Chenopodiaceae). Willdenowia 42: 5 – 24"
"Chenopodium capitatum", "Blitum capitatum Linnaeus subsp. capitatum", "Mosyakin, S.L. 2013. New nomenclatural combinations in Blitum, Oxybasis, Chenopodiastrum, and Lipandra (Chenopodiaceae). Phytoneuron 2013-56: 1–8."
"Chenopodium capitatum var. capitatum", "Blitum capitatum Linnaeus subsp. capitatum", "Mosyakin, S.L. 2013. New nomenclatural combinations in Blitum, Oxybasis, Chenopodiastrum, and Lipandra (Chenopodiaceae). Phytoneuron 2013-56: 1–8."
"Chenopodium glaucum", "Oxybasis glauca (Linnaeus) S. Fuentes, Uotila & Borsch", "Kurtto, A. & P. Uotila. 2019. New combinations in the vascular flora of Finland, in the genera Spinulum, Oxybasis and Potentilla. Memoranda Societas Fauna Flora Fennica 95: 36-39"
"Chenopodium glaucum var. glaucum", "Oxybasis glauca (Linnaeus) S. Fuentes, Uotila & Borsch", "Kurtto, A. & P. Uotila. 2019. New combinations in the vascular flora of Finland, in the genera Spinulum, Oxybasis and Potentilla. Memoranda Societas Fauna Flora Fennica 95: 36-39"
