"Taxon Name", "Match", "Number of Matches", "Match Number", "Matches", "Scientific Name Authorship", "Canonical Name", "Taxon Rank", "Name According To", "Taxonic Status", "Higher Classification"
"Agropyron", "yes", "4", "1", "Agropyron Gaertner", "Gaertner", "Agropyron", "genus", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Triticeae;Hordeinae"
"Agropyron", "yes", "4", "2", "Elymus trachycaulus (Link) Gould ex Shinners", "(Link) Gould ex Shinners", "Elymus trachycaulus", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Triticeae;Hordeinae;Elymus"
"Agropyron", "yes", "4", "3", "Agropyron cristatum (Linnaeus) Gaertner", "(Linnaeus) Gaertner", "Agropyron cristatum", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Triticeae;Hordeinae;Agropyron"
"Agropyron", "yes", "4", "4", "Elymus repens (Linnaeus)  Gould", "(Linnaeus)  Gould", "Elymus repens", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Triticeae;Hordeinae;Elymus"
"Agropyron cristatum", "yes", "1", "1", "Agropyron cristatum (Linnaeus) Gaertner", "(Linnaeus) Gaertner", "Agropyron cristatum", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Triticeae;Hordeinae;Agropyron"
"Agropyron fragile", "yes", "1", "1", "Agropyron fragile (Roth) P. Candargy", "(Roth) P. Candargy", "Agropyron fragile", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Triticeae;Hordeinae;Agropyron"
"Agrostis", "yes", "11", "1", "Agrostis Linnaeus", "Linnaeus", "Agrostis", "genus", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae"
"Agrostis", "yes", "11", "2", "Apera interrupta (Linnaeus) P. Beauvois", "(Linnaeus) P. Beauvois", "Apera interrupta", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Poinae;Apera"
"Agrostis", "yes", "11", "3", "Agrostis gigantea Roth", "Roth", "Agrostis gigantea", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae;Agrostis"
"Agrostis", "yes", "11", "4", "Agrostis capillaris Linnaeus", "Linnaeus", "Agrostis capillaris", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae;Agrostis"
"Agrostis", "yes", "11", "5", "Agrostis canina Linnaeus nom. cons.", "Linnaeus nom. cons.", "Agrostis canina", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae;Agrostis"
"Agrostis", "yes", "11", "6", "Agrostis vinealis Schreber", "Schreber", "Agrostis vinealis", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae;Agrostis"
"Agrostis", "yes", "11", "7", "Apera spica-venti (Linnaeus) P. Beauvois", "(Linnaeus) P. Beauvois", "Apera spica-venti", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Poinae;Apera"
"Agrostis", "yes", "11", "8", "Agrostis perennans (Walter) Tuckerman", "(Walter) Tuckerman", "Agrostis perennans", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae;Agrostis"
"Agrostis", "yes", "11", "9", "Agrostis scabra Willdenow", "Willdenow", "Agrostis scabra", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae;Agrostis"
"Agrostis", "yes", "11", "10", "Agrostis stolonifera Linnaeus", "Linnaeus", "Agrostis stolonifera", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae;Agrostis"
"Agrostis", "yes", "11", "11", "Coleataenia rigidula (Bosc ex Nees) LeBlond", "(Bosc ex Nees) LeBlond", "Coleataenia rigidula", "species", "Missouri Botanical Garden. 2011+. Tropicos.org.  www.tropicos.org", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Panicoideae;Paniceae;Panicinae;Coleataenia"
"Agrostis anadyrensis", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Agrostis exarata", "yes", "1", "1", "Agrostis exarata Trinius", "Trinius", "Agrostis exarata", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae;Agrostis"
"Agrostis gigantea", "yes", "1", "1", "Agrostis gigantea Roth", "Roth", "Agrostis gigantea", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae;Agrostis"
"Agrostis mertensii", "yes", "1", "1", "Agrostis mertensii Trinius", "Trinius", "Agrostis mertensii", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae;Agrostis"
"Agrostis nebulosa", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Agrostis scabra", "yes", "1", "1", "Agrostis scabra Willdenow", "Willdenow", "Agrostis scabra", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae;Agrostis"
"Agrostis stolonifera", "yes", "1", "1", "Agrostis stolonifera Linnaeus", "Linnaeus", "Agrostis stolonifera", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae;Agrostis"
"Agrostis tolucensis", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Agrostis variabilis", "yes", "1", "1", "Agrostis variabilis Rydberg", "Rydberg", "Agrostis variabilis", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae;Agrostis"
"Alisma gramineum", "yes", "1", "1", "Alisma gramineum Lejeune", "Lejeune", "Alisma gramineum", "species", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Alismatales;Alismataceae;Alisma"
"Alisma triviale", "yes", "1", "1", "Alisma triviale Pursh", "Pursh", "Alisma triviale", "species", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Alismatales;Alismataceae;Alisma"
"Allium cernuum", "yes", "1", "1", "Allium cernuum Roth", "Roth", "Allium cernuum", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 26: Agavaceae, Aloaceae, Burmanniaceae, Dioscoreaceae, Haemodoraceae, Iridaceae, Liliaceae, Orchidaceae, Pontederiaceae, Smilacaceae and Stemonaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Asparagales;Amaryllidaceae;Allioideae;Allieae;Allium"
"Allium geyeri var. geyeri", "yes", "1", "1", "Allium geyeri S. Watson var. geyeri", "S. Watson", "Allium geyeri var. geyeri", "variety", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 26: Agavaceae, Aloaceae, Burmanniaceae, Dioscoreaceae, Haemodoraceae, Iridaceae, Liliaceae, Orchidaceae, Pontederiaceae, Smilacaceae and Stemonaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Asparagales;Amaryllidaceae;Allioideae;Allieae;Allium;Allium geyeri"
"Allium geyeri var. tenerum", "yes", "1", "1", "Allium geyeri var. tenerum M.E. Jones", "M.E. Jones", "Allium geyeri var. tenerum", "variety", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 26: Agavaceae, Aloaceae, Burmanniaceae, Dioscoreaceae, Haemodoraceae, Iridaceae, Liliaceae, Orchidaceae, Pontederiaceae, Smilacaceae and Stemonaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Asparagales;Amaryllidaceae;Allioideae;Allieae;Allium;Allium geyeri"
"Allium schoenoprasum", "yes", "1", "1", "Allium schoenoprasum Linnaeus", "Linnaeus", "Allium schoenoprasum", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 26: Agavaceae, Aloaceae, Burmanniaceae, Dioscoreaceae, Haemodoraceae, Iridaceae, Liliaceae, Orchidaceae, Pontederiaceae, Smilacaceae and Stemonaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Asparagales;Amaryllidaceae;Allioideae;Allieae;Allium"
