"Taxon Name", "Match", "Number of Matches", "Match Number", "Matches", "Scientific Name Authorship", "Canonical Name", "Taxon Rank", "Name According To", "Taxonic Status", "Higher Classification"
"Holodiscus discolor var. discolor", "yes", "1", "1", "Holodiscus discolor (Pursh) Maximowicz var. discolor", "(Pursh) Maximowicz", "Holodiscus discolor var. discolor", "variety", "FNA Editorial Committee. 2014. Flora of North America north of Mexico. Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Rosales;Rosaceae;Amygdaloideae;Spiraeeae;Holodiscus;Holodiscus discolor"
"Holosteum umbellatum", "yes", "1", "1", "Holosteum umbellatum Linnaeus", "Linnaeus", "Holosteum umbellatum", "species", "FNA Editorial Committee. 2005. Flora of North America north of Mexico. Volume 5: Magnoliophyta: Caryophyllidae, part 2. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Caryophyllanae;Caryophyllales;Caryophyllaceae;Alsineae;Holosteum"
"Holosteum umbellatum subsp. umbellatum", "yes", "1", "1", "Holosteum umbellatum Linnaeus subsp. umbellatum", "Linnaeus", "Holosteum umbellatum subsp. umbellatum", "subspecies", "FNA Editorial Committee. 2005. Flora of North America north of Mexico. Volume 5: Magnoliophyta: Caryophyllidae, part 2. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Caryophyllanae;Caryophyllales;Caryophyllaceae;Alsineae;Holosteum;Holosteum umbellatum"
"Homalia trichomanoides var. trichomanoides", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Homalothecium arenarium", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Homalothecium fulgescens", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Homalothecium megaptilum", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Homalothecium nuttallii", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Honckenya peploides", "yes", "1", "1", "Honckenya peploides (Linnaeus) Ehrhart", "(Linnaeus) Ehrhart", "Honckenya peploides", "species", "FNA Editorial Committee. 2005. Flora of North America north of Mexico. Volume 5: Magnoliophyta: Caryophyllidae, part 2. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Caryophyllanae;Caryophyllales;Caryophyllaceae;Sclerantheae;Honckenya"
"Honckenya peploides subsp. major", "yes", "1", "1", "Honckenya peploides subsp. major (Hooker) Hultén", "(Hooker) Hultén", "Honckenya peploides subsp. major", "subspecies", "FNA Editorial Committee. 2005. Flora of North America north of Mexico. Volume 5: Magnoliophyta: Caryophyllidae, part 2. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Caryophyllanae;Caryophyllales;Caryophyllaceae;Sclerantheae;Honckenya;Honckenya peploides"
"Hookeria acutifolia", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Hookeria lucens", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Hordeum depressum", "yes", "1", "1", "Hordeum depressum (Scribner & J.G. Smith) Rydberg", "(Scribner & J.G. Smith) Rydberg", "Hordeum depressum", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Triticeae;Hordeinae;Hordeum"
"Hordeum marinum", "yes", "1", "1", "Hordeum marinum Hudson", "Hudson", "Hordeum marinum", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Triticeae;Hordeinae;Hordeum"
"Hordeum marinum subsp. gussoneanum", "yes", "1", "1", "Hordeum marinum subsp. gussoneanum (Parlatore) Thellung", "(Parlatore) Thellung", "Hordeum marinum subsp. gussoneanum", "subspecies", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Triticeae;Hordeinae;Hordeum;Hordeum marinum"
"Hordeum marinum subsp. marinum", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Hornungia procumbens", "yes", "1", "1", "Hornungia procumbens (Linnaeus) Hayek", "(Linnaeus) Hayek", "Hornungia procumbens", "species", "FNA Editorial Committee. 2010. Flora of North America north of Mexico. Volume 7: Magnoliophyta: Salicaceae to Brassicaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Brassicales;Brassicaceae;Descurainieae;Hornungia"
"Hulteniella integrifolia", "yes", "1", "1", "Hulteniella integrifolia (Richardson) Tzvelev", "(Richardson) Tzvelev", "Hulteniella integrifolia", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Anthemideae;Hulteniella"
"Humulus lupulus var. neomexicanus", "yes", "1", "1", "Humulus lupulus var. neomexicanus A. Nelson & Cockerell", "A. Nelson & Cockerell", "Humulus lupulus var. neomexicanus", "variety", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Rosales;Cannabaceae;Humulus;Humulus lupulus"
"Huperzia miyoshiana", "yes", "1", "1", "Huperzia miyoshiana (Makino) Ching", "(Makino) Ching", "Huperzia miyoshiana", "species", "FNA Editorial Committee. 1993. Flora of North America north of Mexico. Volume 2: Pteridophytes and Gymnosperms. Oxford University Press, New York.", "accepted", "Equisetopsida;Lycopodiidae;Lycopodiales;Lycopodiaceae;Huperzioideae;Huperzia"
"Hyacinthoides non-scripta", "yes", "1", "1", "Hyacinthoides non-scripta (Linnaeus) Chouard", "(Linnaeus) Chouard", "Hyacinthoides non-scripta", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 26: Agavaceae, Aloaceae, Burmanniaceae, Dioscoreaceae, Haemodoraceae, Iridaceae, Liliaceae, Orchidaceae, Pontederiaceae, Smilacaceae and Stemonaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Asparagales;Asparagaceae;Nolinoideae;Hyacinthoides"
"Hygroamblystegium varium subsp. noterophilum", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Hygrohypnum alpestre", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Hygrohypnum alpinum", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Hygrohypnum molle", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Hygrohypnum norvegicum", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Hygrohypnum polare", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Hylocomiastrum umbratum", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Hylotelephium telephium", "yes", "1", "1", "Hylotelephium telephium (Linnaeus) H. Ohba", "(Linnaeus) H. Ohba", "Hylotelephium telephium", "species", "FNA Editorial Committee. 2009. Flora of North America north of Mexico. Volume 8: Magnoliophyta: Paeoniaceae to Ericaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Saxifraganae;Saxifragales;Crassulaceae;Sempervivoideae;Sedeae;Hylotelephium"
"Hymenophyllum wrightii", "yes", "1", "1", "Hymenophyllum wrightii Bosch", "Bosch", "Hymenophyllum wrightii", "species", "FNA Editorial Committee. 1993. Flora of North America north of Mexico. Volume 2: Pteridophytes and Gymnosperms. Oxford University Press, New York.", "accepted", "Equisetopsida;Polypodiidae;Hymenophyllales;Hymenophyllaceae;Hymenophyllum"
"Hymenostylium recurvirostrum var. insigne", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Hypericum anagalloides", "yes", "1", "1", "Hypericum anagalloides Chamisso & Schlechtendal", "Chamisso & Schlechtendal", "Hypericum anagalloides", "species", "FNA Editorial Committee. 2015. Flora of North America north of Mexico. Volume 6: Magnoliophyta: Cucurbitaceae to Droseraceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Malpighiales;Hypericaceae;Hypericeae;Hypericum;Hypericum sect. Brathys"
"Hypericum boreale", "yes", "1", "1", "Hypericum boreale (Britton) E.P. Bicknell", "(Britton) E.P. Bicknell", "Hypericum boreale", "species", "FNA Editorial Committee. 2015. Flora of North America north of Mexico. Volume 6: Magnoliophyta: Cucurbitaceae to Droseraceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Malpighiales;Hypericaceae;Hypericeae;Hypericum;Hypericum sect. Brathys"
"Hypericum maculatum", "yes", "2", "1", "Hypericum maculatum Crantz", "Crantz", "Hypericum maculatum", "species", "FNA Editorial Committee. 2015. Flora of North America north of Mexico. Volume 6: Magnoliophyta: Cucurbitaceae to Droseraceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Malpighiales;Hypericaceae;Hypericeae;Hypericum;Hypericum sect. Hypericum"
"Hypericum maculatum", "yes", "2", "2", "Hypericum punctatum Lamarck", "Walter nom. illeg.", "Hypericum maculatum", "species", "FNA Editorial Committee. 2015. Flora of North America north of Mexico. Volume 6: Magnoliophyta: Cucurbitaceae to Droseraceae. Oxford University Press, New York.", "synonym", "NULL"
"Hypericum maculatum subsp. obtusiusculum", "yes", "1", "1", "Hypericum maculatum subsp. obtusiusculum (Tourlet) Hayek", "(Tourlet) Hayek", "Hypericum maculatum subsp. obtusiusculum", "subspecies", "FNA Editorial Committee. 2015. Flora of North America north of Mexico. Volume 6: Magnoliophyta: Cucurbitaceae to Droseraceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Malpighiales;Hypericaceae;Hypericeae;Hypericum;Hypericum sect. Hypericum;Hypericum maculatum"
"Hypericum mutilum", "yes", "1", "1", "Hypericum mutilum Linnaeus", "Linnaeus", "Hypericum mutilum", "species", "FNA Editorial Committee. 2015. Flora of North America north of Mexico. Volume 6: Magnoliophyta: Cucurbitaceae to Droseraceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Malpighiales;Hypericaceae;Hypericeae;Hypericum;Hypericum sect. Brathys"
"Hypericum mutilum subsp. mutilum", "yes", "1", "1", "Hypericum mutilum Linnaeus subsp. mutilum", "Linnaeus", "Hypericum mutilum subsp. mutilum", "subspecies", "FNA Editorial Committee. 2015. Flora of North America north of Mexico. Volume 6: Magnoliophyta: Cucurbitaceae to Droseraceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Malpighiales;Hypericaceae;Hypericeae;Hypericum;Hypericum sect. Brathys;Hypericum mutilum"
"Hypericum perforatum", "yes", "1", "1", "Hypericum perforatum Linnaeus", "Linnaeus", "Hypericum perforatum", "species", "FNA Editorial Committee. 2015. Flora of North America north of Mexico. Volume 6: Magnoliophyta: Cucurbitaceae to Droseraceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Malpighiales;Hypericaceae;Hypericeae;Hypericum;Hypericum sect. Hypericum"
"Hypericum perforatum subsp. perforatum", "yes", "1", "1", "Hypericum perforatum Linnaeus subsp. perforatum", "Linnaeus", "Hypericum perforatum subsp. perforatum", "subspecies", "FNA Editorial Committee. 2015. Flora of North America north of Mexico. Volume 6: Magnoliophyta: Cucurbitaceae to Droseraceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Malpighiales;Hypericaceae;Hypericeae;Hypericum;Hypericum sect. Hypericum;Hypericum perforatum"
"Hypnum cupressiforme var. subjulaceum", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Hypnum dieckei", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Hypnum subimponens", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Hypochaeris radicata", "yes", "1", "1", "Hypochaeris radicata Linnaeus", "Linnaeus", "Hypochaeris radicata", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Cichorioideae;Cichorieae;Hypochaeris"
"Hypopterygium flavolimbatum", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Idahoa scapigera", "yes", "1", "1", "Idahoa scapigera (Hooker) A. Nelson & J.F. MacBride", "(Hooker) A. Nelson & J.F. MacBride", "Idahoa scapigera", "species", "FNA Editorial Committee. 2010. Flora of North America north of Mexico. Volume 7: Magnoliophyta: Salicaceae to Brassicaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Brassicales;Brassicaceae;Idahoa"
"Imbribryum miniatum", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Imbribryum muehlenbeckii", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Inula helenium", "yes", "1", "1", "Inula helenium Linnaeus", "Linnaeus", "Inula helenium", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Inuleae;Inula"
"Ionactis stenomeres", "yes", "1", "1", "Ionactis stenomeres (A. Gray) Greene", "(A. Gray) Greene", "Ionactis stenomeres", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 20: Magnoliophyta: Asteridae, part 7: Asteraceae, part 2. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Astereae;Ionactis"
"Iris pseudacorus", "yes", "1", "1", "Iris pseudacorus Linnaeus", "Linnaeus", "Iris pseudacorus", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 26: Agavaceae, Aloaceae, Burmanniaceae, Dioscoreaceae, Haemodoraceae, Iridaceae, Liliaceae, Orchidaceae, Pontederiaceae, Smilacaceae and Stemonaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Asparagales;Iridaceae;Iridoideae;Irideae;Iris;Iris subg. Limniris;Iris sect. Limniris;Iris ser. Laevigatae"
"Iris setosa", "yes", "1", "1", "Iris setosa Pallas", "Pallas", "Iris setosa", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 26: Agavaceae, Aloaceae, Burmanniaceae, Dioscoreaceae, Haemodoraceae, Iridaceae, Liliaceae, Orchidaceae, Pontederiaceae, Smilacaceae and Stemonaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Asparagales;Iridaceae;Iridoideae;Irideae;Iris;Iris ser. Tripetalae"
"Isatis tinctoria", "yes", "1", "1", "Isatis tinctoria Linnaeus", "Linnaeus", "Isatis tinctoria", "species", "FNA Editorial Committee. 2010. Flora of North America north of Mexico. Volume 7: Magnoliophyta: Salicaceae to Brassicaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Brassicales;Brassicaceae;Isatideae;Isatis"
"Isolepis cernua", "yes", "1", "1", "Isolepis cernua (Vahl) Roemer & Schultes", "(Vahl) Roemer & Schultes", "Isolepis cernua", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Cyperoideae;Cypereae;Isolepis"
"Isolepis setacea", "yes", "1", "1", "Isolepis setacea (Linnaeus) R. Brown", "(Linnaeus) R. Brown", "Isolepis setacea", "species", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Cyperaceae;Cyperoideae;Cypereae;Isolepis"
"Isopterygiopsis muelleriana", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Isothecium cardotii", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Isothecium cristatum", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Iso??tes howellii", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Iso??tes maritima", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Iso??tes nuttallii", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Iso??tes occidentalis", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Iwatsukiella leucotricha", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Jaumea carnosa", "yes", "1", "1", "Jaumea carnosa (Lessing) A. Gray", "(Lessing) A. Gray", "Jaumea carnosa", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 21: Magnoliophyta: Asteridae, part 8: Asteraceae, part 3. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Heliantheae;Jaumea"
"Juncus acuminatus", "yes", "2", "1", "Juncus acuminatus Michaux", "Michaux", "Juncus acuminatus", "species", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Juncaceae;Juncus;Juncus subg. Juncus;Juncus sect. Ozophyllum"
"Juncus acuminatus", "yes", "2", "2", "Juncus arcticus Willdenow subsp. arcticus", "Balbis nom. illeg.", "Juncus acuminatus", "species", "Kirschner, J. et al. 2002. Species Plantarum: Flora of the World. Part 6, Juncaceae 1: Rostkovia to Luzula. 237 pp. Part 7, Juncaceae 2: Juncus subg. Juncus. 336 pp. Part 8, Juncaceae 3: Juncus subg. Agathryon. Australian Biological Resources Study, Canberra. 192 pp.", "synonym", "NULL"
"Juncus arcticus var. alaskanus", "yes", "2", "1", "Juncus arcticus subsp. alaskanus Hultén", "(Hultén) Novikov nom. illeg.", "Juncus arcticus var. alaskanus", "variety", "Missouri Botanical Garden. 2011+. Tropicos.org.  www.tropicos.org", "synonym", "NULL"
"Juncus arcticus var. alaskanus", "yes", "2", "2", "Juncus arcticus subsp. alaskanus Hultén", "(Hultén) S.L. Welsh", "Juncus arcticus var. alaskanus", "variety", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "synonym", "NULL"
"Juncus articulatus", "yes", "1", "1", "Juncus articulatus Linnaeus", "Linnaeus", "Juncus articulatus", "species", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Juncaceae;Juncus;Juncus subg. Juncus;Juncus sect. Ozophyllum"
"Juncus bolanderi", "yes", "1", "1", "Juncus bolanderi Engelmann", "Engelmann", "Juncus bolanderi", "species", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Juncaceae;Juncus;Juncus subg. Juncus;Juncus sect. Ozophyllum"
"Juncus bulbosus", "yes", "1", "1", "Juncus bulbosus Linnaeus", "Linnaeus", "Juncus bulbosus", "species", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Juncaceae;Juncus;Juncus subg. Juncus;Juncus sect. Ozophyllum"
"Juncus covillei", "yes", "1", "1", "Juncus covillei Piper", "Piper", "Juncus covillei", "species", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Juncaceae;Juncus;Juncus subg. Juncus;Juncus sect. Graminifolii"
"Juncus covillei var. covillei", "yes", "1", "1", "Juncus covillei Piper var. covillei", "Piper", "Juncus covillei var. covillei", "variety", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Juncaceae;Juncus;Juncus subg. Juncus;Juncus sect. Graminifolii;Juncus covillei"
"Juncus covillei var. obtusatus", "yes", "1", "1", "Juncus covillei var. obtusatus C.L. Hitchcock", "C.L. Hitchcock", "Juncus covillei var. obtusatus", "variety", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Juncaceae;Juncus;Juncus subg. Juncus;Juncus sect. Graminifolii;Juncus covillei"
"Juncus effusus", "yes", "1", "1", "Juncus effusus Linnaeus", "Linnaeus", "Juncus effusus", "species", "Kirschner, J. et al. 2002. Species Plantarum: Flora of the World. Part 6, Juncaceae 1: Rostkovia to Luzula. 237 pp. Part 7, Juncaceae 2: Juncus subg. Juncus. 336 pp. Part 8, Juncaceae 3: Juncus subg. Agathryon. Australian Biological Resources Study, Canberra. 192 pp.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Juncaceae;Juncus;Juncus subg. Agathryon;Juncus sect. Juncotypus"
"Juncus falcatus", "yes", "1", "1", "Juncus falcatus E. Meyer", "E. Meyer", "Juncus falcatus", "species", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Juncaceae;Juncus;Juncus subg. Juncus;Juncus sect. Graminifolii"
"Juncus falcatus var. sitchensis", "yes", "1", "1", "Juncus falcatus subsp. sitchensis (Buchenau) Hultén", "Buchenau", "Juncus falcatus var. sitchensis", "variety", "Kirschner, J. et al. 2002. Species Plantarum: Flora of the World. Part 6, Juncaceae 1: Rostkovia to Luzula. 237 pp. Part 7, Juncaceae 2: Juncus subg. Juncus. 336 pp. Part 8, Juncaceae 3: Juncus subg. Agathryon. Australian Biological Resources Study, Canberra. 192 pp.", "synonym", "NULL"
"Juncus gerardii", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Juncus kelloggii", "yes", "1", "1", "Juncus kelloggii Engelmann", "Engelmann", "Juncus kelloggii", "species", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Juncaceae;Juncus;Juncus subg. Juncus;Juncus sect. Caespitosi"
"Juncus lesueurii", "yes", "1", "1", "Juncus lesueurii Bolander", "Bolander", "Juncus lesueurii", "species", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Juncaceae;Juncus;Juncus subg. Agathryon;Juncus sect. Juncotypus"
"Juncus orthophyllus", "yes", "1", "1", "Juncus orthophyllus Coville", "Coville", "Juncus orthophyllus", "species", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Juncaceae;Juncus;Juncus subg. Juncus;Juncus sect. Graminifolii"
"Juncus oxymeris", "yes", "1", "1", "Juncus oxymeris Engelmann", "Engelmann", "Juncus oxymeris", "species", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Juncaceae;Juncus;Juncus subg. Juncus;Juncus sect. Iridifolii"
"Juncus pelocarpus", "yes", "1", "1", "Juncus pelocarpus E. Meyer", "E. Meyer", "Juncus pelocarpus", "species", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Juncaceae;Juncus;Juncus subg. Juncus;Juncus sect. Ozophyllum"
"Juncus supiniformis", "yes", "1", "1", "Juncus supiniformis Engelmann", "Engelmann", "Juncus supiniformis", "species", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Juncaceae;Juncus;Juncus subg. Juncus;Juncus sect. Ozophyllum"
"Juniperus communis var. montana", "yes", "1", "1", "Juniperus communis var. saxatilis Pallas", "Aiton", "Juniperus communis var. montana", "variety", "Adams, R.P. 2008. Junipers of the World: The genus Juniperus. 2nd ed. Trafford Publ., Vancouver.", "synonym", "NULL"
"Kalmia microphylla var. occidentalis", "yes", "1", "1", "Kalmia microphylla var. occidentalis (Small) Ebinger", "(Small) Ebinger", "Kalmia microphylla var. occidentalis", "variety", "FNA Editorial Committee. 2009. Flora of North America north of Mexico. Volume 8: Magnoliophyta: Paeoniaceae to Ericaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Ericales;Ericaceae;Ericoideae;Phyllodoceae;Kalmia;Kalmia microphylla"
"Kickxia elatine", "yes", "1", "1", "Kickxia elatine (Linnaeus) Dumortier", "(Linnaeus) Dumortier", "Kickxia elatine", "species", "FNA Editorial Committee. 2019. Flora of North America north of Mexico. Volume 17. Magnoliophyta: Tetrachondraceae to Orobanchaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Lamiales;Plantaginaceae;Antirrhineae;Kickxia"
