"","Volume","Taxon name"
"Antennaria alpina","Volume 19","Antennaria alpina"
"Antennaria friesiana","Volume 19","Antennaria friesiana"
"Antennaria friesiana subsp. friesiana","Volume 19","Antennaria friesiana subsp. friesiana"
"Antennaria howellii","Volume 19","Antennaria howellii"
"Antennaria howellii subsp. canadensis","Volume 19","Antennaria howellii subsp. canadensis"
"Antennaria howellii subsp. neodioica","Volume 19","Antennaria howellii subsp. neodioica"
"Antennaria howellii subsp. petaloidea","Volume 19","Antennaria howellii subsp. petaloidea"
"Antennaria microphylla","Volume 19","Antennaria microphylla"
"Antennaria monocephala","Volume 19","Antennaria monocephala"
"Antennaria monocephala subsp. angustata","Volume 19","Antennaria monocephala subsp. angustata"
"Antennaria neglecta","Volume 19","Antennaria neglecta"
"Antennaria parlinii","Volume 19","Antennaria parlinii"
"Antennaria parlinii subsp. fallax","Volume 19","Antennaria parlinii subsp. fallax"
"Antennaria parlinii subsp. parlinii","Volume 19","Antennaria parlinii subsp. parlinii"
"Antennaria plantaginifolia","Volume 19","Antennaria plantaginifolia"
"Antennaria pulcherrima","Volume 19","Antennaria pulcherrima"
"Antennaria pulcherrima subsp. pulcherrima","Volume 19","Antennaria pulcherrima subsp. pulcherrima"
"Antennaria rosea","Volume 19","Antennaria rosea"
"Antennaria rosea subsp. arida","Volume 19","Antennaria rosea subsp. arida"
"Antennaria rosea subsp. confinis","Volume 19","Antennaria rosea subsp. confinis"
"Antennaria rosea subsp. pulvinata","Volume 19","Antennaria rosea subsp. pulvinata"
"Anthemis arvensis","Volume 19","Anthemis arvensis"
"Anthemis cotula","Volume 19","Anthemis cotula"
"Anthoxanthum","Volume 24","Anthoxanthum"
"Anthoxanthum arcticum","Volume 24","Anthoxanthum arcticum"
"Anthoxanthum aristatum","Volume 24","Anthoxanthum aristatum"
"Anthoxanthum hirtum","Volume 24","Anthoxanthum hirtum"
"Anthoxanthum monticola","Volume 24","Anthoxanthum monticola"
"Anthoxanthum monticola subsp. alpinum","Volume 24","Anthoxanthum monticola subsp. alpinum"
"Anthoxanthum monticola subsp. monticola","Volume 24","Anthoxanthum monticola subsp. monticola"
"Anthoxanthum nitens","Volume 24","Anthoxanthum nitens"
"Anthoxanthum occidentale","Volume 24","Anthoxanthum occidentale"
"Anthoxanthum odoratum","Volume 24","Anthoxanthum odoratum"
"Antirrhinum majus","Volume 17","Antirrhinum majus"
"Aphanorrhegma serratum","Volume 27","Aphanorrhegma serratum"
"Aplectrum hyemale","Volume 26","Aplectrum hyemale"
"Aplodon wormskioldii","Volume 28","Aplodon wormskioldii"
"Aquilegia canadensis","Volume 3","Aquilegia canadensis"
"Aquilegia vulgaris","Volume 3","Aquilegia vulgaris"
"Arabidopsis arenicola","Volume 7","Arabidopsis arenicola"
"Arabidopsis thaliana","Volume 7","Arabidopsis thaliana"
"Arabis alpina","Volume 7","Arabis alpina"
"Arabis caucasica","Volume 7","Arabis caucasica"
"Arabis pycnocarpa","Volume 7","Arabis pycnocarpa"
"Arabis pycnocarpa var. pycnocarpa","Volume 7","Arabis pycnocarpa var. pycnocarpa"
"Arceuthobium pusillum","Volume 12","Arceuthobium pusillum"
"Arctagrostis","Volume 24","Arctagrostis"
"Arctagrostis latifolia","Volume 24","Arctagrostis latifolia"
"Arctagrostis latifolia subsp. arundinacea","Volume 24","Arctagrostis latifolia subsp. arundinacea"
"Arctagrostis latifolia subsp. latifolia","Volume 24","Arctagrostis latifolia subsp. latifolia"
