"","Volume","Taxon name"
"Chamaedaphne calyculata","Volume 8","Chamaedaphne calyculata"
"Chenopodium album","Volume 4","Chenopodium album"
"Cichorium intybus","Volume 19","Cichorium intybus"
"Cinclidium stygium","Volume 28","Cinclidium stygium"
"Cinclidium subrotundum","Volume 28","Cinclidium subrotundum"
"Cinna","Volume 24","Cinna"
"Cinna latifolia","Volume 24","Cinna latifolia"
"Cirriphyllum piliferum","Volume 28","Cirriphyllum piliferum"
"Cirsium muticum","Volume 19","Cirsium muticum"
"Cladium mariscoides","Volume 23","Cladium mariscoides"
"Climacium dendroides","Volume 28","Climacium dendroides"
"Clintonia borealis","Volume 26","Clintonia borealis"
"Cochlearia groenlandica","Volume 7","Cochlearia groenlandica"
"Cochlearia tridactylites","Volume 7","Cochlearia tridactylites"
"Codriophorus acicularis","Volume 27","Codriophorus acicularis"
"Codriophorus fascicularis","Volume 27","Codriophorus fascicularis"
"Comandra umbellata subsp. umbellata","Volume 12","Comandra umbellata subsp. umbellata"
"Comarum palustre","Volume 9","Comarum palustre"
"Conostomum tetragonum","Volume 28","Conostomum tetragonum"
"Conringia orientalis","Volume 7","Conringia orientalis"
"Convallaria majalis var. majalis","Volume 26","Convallaria majalis var. majalis"
"Corallorhiza trifida","Volume 26","Corallorhiza trifida"
"Cornus canadensis","Volume 12","Cornus canadensis"
"Cornus sericea","Volume 12","Cornus sericea"
"Cornus suecica","Volume 12","Cornus suecica"
"Coscinodon cribrosus","Volume 27","Coscinodon cribrosus"
"Cratoneuron filicinum","Volume 28","Cratoneuron filicinum"
"Crepis nana","Volume 19","Crepis nana"
"Cynodontium polycarpon","Volume 27","Cynodontium polycarpon"
"Cynodontium strumiferum","Volume 27","Cynodontium strumiferum"
"Cynodontium tenellum","Volume 27","Cynodontium tenellum"
"Cypripedium parviflorum var. makasin","Volume 26","Cypripedium parviflorum var. makasin"
"Cypripedium parviflorum var. pubescens","Volume 26","Cypripedium parviflorum var. pubescens"
"Cyrtomnium hymenophylloides","Volume 28","Cyrtomnium hymenophylloides"
"Cyrtomnium hymenophyllum","Volume 28","Cyrtomnium hymenophyllum"
