"","Volume","Taxon name"
"Anthoxanthum monticola","Volume 24","Anthoxanthum monticola"
"Anthoxanthum monticola subsp. alpinum","Volume 24","Anthoxanthum monticola subsp. alpinum"
"Anthoxanthum monticola subsp. monticola","Volume 24","Anthoxanthum monticola subsp. monticola"
"Anthoxanthum nitens","Volume 24","Anthoxanthum nitens"
"Anthoxanthum occidentale","Volume 24","Anthoxanthum occidentale"
"Anthoxanthum odoratum","Volume 24","Anthoxanthum odoratum"
"Antirrhinum majus","Volume 17","Antirrhinum majus"
"Apera","Volume 24","Apera"
"Apera interrupta","Volume 24","Apera interrupta"
"Apera spica-venti","Volume 24","Apera spica-venti"
"Aphanorrhegma serratum","Volume 27","Aphanorrhegma serratum"
"Aplectrum hyemale","Volume 26","Aplectrum hyemale"
"Aquilegia brevistyla","Volume 3","Aquilegia brevistyla"
"Aquilegia canadensis","Volume 3","Aquilegia canadensis"
"Aquilegia vulgaris","Volume 3","Aquilegia vulgaris"
"Arabidopsis arenicola","Volume 7","Arabidopsis arenicola"
"Arabidopsis lyrata","Volume 7","Arabidopsis lyrata"
"Arabidopsis lyrata subsp. lyrata","Volume 7","Arabidopsis lyrata subsp. lyrata"
"Arabidopsis thaliana","Volume 7","Arabidopsis thaliana"
"Arabis caucasica","Volume 7","Arabis caucasica"
"Arabis pycnocarpa","Volume 7","Arabis pycnocarpa"
"Arabis pycnocarpa var. adpressipilis","Volume 7","Arabis pycnocarpa var. adpressipilis"
"Arabis pycnocarpa var. pycnocarpa","Volume 7","Arabis pycnocarpa var. pycnocarpa"
"Arceuthobium americanum","Volume 12","Arceuthobium americanum"
"Arceuthobium pusillum","Volume 12","Arceuthobium pusillum"
"Arctagrostis","Volume 24","Arctagrostis"
"Arctagrostis latifolia","Volume 24","Arctagrostis latifolia"
"Arctagrostis latifolia subsp. arundinacea","Volume 24","Arctagrostis latifolia subsp. arundinacea"
"Arctagrostis latifolia subsp. latifolia","Volume 24","Arctagrostis latifolia subsp. latifolia"
"Arctanthemum arcticum","Volume 19","Arctanthemum arcticum"
"Arctanthemum arcticum subsp. polare","Volume 19","Arctanthemum arcticum subsp. polare"
"Arctium lappa","Volume 19","Arctium lappa"
"Arctium minus","Volume 19","Arctium minus"
"Arctium tomentosum","Volume 19","Arctium tomentosum"
"Arctophila","Volume 24","Arctophila"
"Arctophila fulva","Volume 24","Arctophila fulva"
"Arctostaphylos uva-ursi","Volume 8","Arctostaphylos uva-ursi"
"Arctous alpina","Volume 8","Arctous alpina"
"Arctous rubra","Volume 8","Arctous rubra"
"Arenaria humifusa","Volume 5","Arenaria humifusa"
"Arenaria serpyllifolia","Volume 5","Arenaria serpyllifolia"
"Arenaria serpyllifolia var. serpyllifolia","Volume 5","Arenaria serpyllifolia var. serpyllifolia"
"Arethusa bulbosa","Volume 26","Arethusa bulbosa"
"Argemone mexicana","Volume 3","Argemone mexicana"
"Arisaema dracontium","Volume 22","Arisaema dracontium"
"Arisaema triphyllum","Volume 22","Arisaema triphyllum"
"Aristida","Volume 25","Aristida"
"Aristida basiramea","Volume 25","Aristida basiramea"
"Aristida dichotoma","Volume 25","Aristida dichotoma"
"Aristida dichotoma var. dichotoma","Volume 25","Aristida dichotoma var. dichotoma"
"Aristida longespica","Volume 25","Aristida longespica"
"Aristida longespica var. geniculata","Volume 25","Aristida longespica var. geniculata"
"Aristida longespica var. longespica","Volume 25","Aristida longespica var. longespica"
"Aristida oligantha","Volume 25","Aristida oligantha"
"Aristida purpurascens","Volume 25","Aristida purpurascens"
"Aristida purpurascens var. purpurascens","Volume 25","Aristida purpurascens var. purpurascens"
"Aristolochia clematitis","Volume 3","Aristolochia clematitis"
"Aristolochia macrophylla","Volume 3","Aristolochia macrophylla"
"Armeria maritima","Volume 5","Armeria maritima"
"Armeria maritima subsp. sibirica","Volume 5","Armeria maritima subsp. sibirica"
"Armoracia rusticana","Volume 7","Armoracia rusticana"
"Arnica angustifolia","Volume 21","Arnica angustifolia"
"Arnica angustifolia subsp. angustifolia","Volume 21","Arnica angustifolia subsp. angustifolia"
"Arnica chamissonis","Volume 21","Arnica chamissonis"
"Arnica cordifolia","Volume 21","Arnica cordifolia"
"Arnica lonchophylla","Volume 21","Arnica lonchophylla"
"Arnoglossum plantagineum","Volume 20","Arnoglossum plantagineum"
"Aronia arbutifolia","Volume 9","Aronia arbutifolia"
"Aronia melanocarpa","Volume 9","Aronia melanocarpa"
"Arrhenatherum","Volume 24","Arrhenatherum"
"Arrhenatherum elatius","Volume 24","Arrhenatherum elatius"
"Arrhenopterum heterostichum","Volume 28","Arrhenopterum heterostichum"
"Artemisia abrotanum","Volume 19","Artemisia abrotanum"
"Artemisia absinthium","Volume 19","Artemisia absinthium"
"Artemisia annua","Volume 19","Artemisia annua"
"Artemisia biennis","Volume 19","Artemisia biennis"
"Artemisia campestris","Volume 19","Artemisia campestris"
"Artemisia campestris subsp. canadensis","Volume 19","Artemisia campestris subsp. canadensis"
"Artemisia campestris subsp. caudata","Volume 19","Artemisia campestris subsp. caudata"
"Artemisia dracunculus","Volume 19","Artemisia dracunculus"
"Artemisia frigida","Volume 19","Artemisia frigida"
"Artemisia ludoviciana","Volume 19","Artemisia ludoviciana"
"Artemisia ludoviciana subsp. ludoviciana","Volume 19","Artemisia ludoviciana subsp. ludoviciana"
"Artemisia pontica","Volume 19","Artemisia pontica"
"Artemisia stelleriana","Volume 19","Artemisia stelleriana"
"Artemisia tilesii","Volume 19","Artemisia tilesii"
"Artemisia vulgaris","Volume 19","Artemisia vulgaris"
"Aruncus dioicus","Volume 9","Aruncus dioicus"
"Aruncus dioicus var. vulgaris","Volume 9","Aruncus dioicus var. vulgaris"
"Asarum canadense","Volume 3","Asarum canadense"
"Asimina triloba","Volume 3","Asimina triloba"
"Asparagus officinalis","Volume 26","Asparagus officinalis"
"Asplenium platyneuron","Volume 2","Asplenium platyneuron"
"Asplenium rhizophyllum","Volume 2","Asplenium rhizophyllum"
"Asplenium ruta-muraria","Volume 2","Asplenium ruta-muraria"
"Asplenium scolopendrium","Volume 2","Asplenium scolopendrium"
"Asplenium scolopendrium var. americanum","Volume 2","Asplenium scolopendrium var. americanum"
"Asplenium trichomanes","Volume 2","Asplenium trichomanes"
"Asplenium trichomanes subsp. quadrivalens","Volume 2","Asplenium trichomanes subsp. quadrivalens"
"Asplenium trichomanes subsp. trichomanes","Volume 2","Asplenium trichomanes subsp. trichomanes"
"Asplenium trichomanes-ramosum","Volume 2","Asplenium trichomanes-ramosum"
"Aster alpinus","Volume 20","Aster alpinus"
"Aster alpinus subsp. vierhapperi","Volume 20","Aster alpinus subsp. vierhapperi"
"Athyrium filix-femina","Volume 2","Athyrium filix-femina"
"Athyrium filix-femina var. angustum","Volume 2","Athyrium filix-femina var. angustum"
"Athyrium filix-femina var. cyclosorum","Volume 2","Athyrium filix-femina var. cyclosorum"
"Atrichum altecristatum","Volume 27","Atrichum altecristatum"
"Atrichum angustatum","Volume 27","Atrichum angustatum"
"Atrichum crispulum","Volume 27","Atrichum crispulum"
"Atrichum crispum","Volume 27","Atrichum crispum"
"Atrichum tenellum","Volume 27","Atrichum tenellum"
"Atrichum undulatum","Volume 27","Atrichum undulatum"
"Atriplex dioica","Volume 4","Atriplex dioica"
"Atriplex heterosperma","Volume 4","Atriplex heterosperma"
"Atriplex hortensis","Volume 4","Atriplex hortensis"
"Atriplex oblongifolia","Volume 4","Atriplex oblongifolia"
"Atriplex patula","Volume 4","Atriplex patula"
"Atriplex prostrata","Volume 4","Atriplex prostrata"
"Atriplex rosea","Volume 4","Atriplex rosea"
"Aulacomnium acuminatum","Volume 28","Aulacomnium acuminatum"
"Aulacomnium androgynum","Volume 28","Aulacomnium androgynum"
"Aulacomnium palustre","Volume 28","Aulacomnium palustre"
"Aulacomnium turgidum","Volume 28","Aulacomnium turgidum"
"Aureolaria flava","Volume 17","Aureolaria flava"
"Aureolaria grandiflora","Volume 17","Aureolaria grandiflora"
"Aureolaria pedicularia","Volume 17","Aureolaria pedicularia"
"Aureolaria virginica","Volume 17","Aureolaria virginica"
"Avena","Volume 24","Avena"
"Avena fatua","Volume 24","Avena fatua"
"Avena sativa","Volume 24","Avena sativa"
"Avena sterilis","Volume 24","Avena sterilis"
"Avenula","Volume 24","Avenula"
"Avenula pubescens","Volume 24","Avenula pubescens"
"Axyris amaranthoides","Volume 4","Axyris amaranthoides"
"Azolla caroliniana","Volume 2","Azolla caroliniana"
"Barbarea orthoceras","Volume 7","Barbarea orthoceras"
"Barbarea stricta","Volume 7","Barbarea stricta"
"Barbarea vulgaris","Volume 7","Barbarea vulgaris"
"Barbula convoluta var. convoluta","Volume 27","Barbula convoluta var. convoluta"
"Barbula unguiculata","Volume 27","Barbula unguiculata"
