"","Volume","Taxon name"
"Betula alleghaniensis","Volume 3","Betula alleghaniensis"
"Betula cordifolia","Volume 3","Betula cordifolia"
"Betula glandulosa","Volume 3","Betula glandulosa"
"Betula michauxii","Volume 3","Betula michauxii"
"Betula minor","Volume 3","Betula minor"
"Betula papyrifera","Volume 3","Betula papyrifera"
"Betula populifolia","Volume 3","Betula populifolia"
"Betula pumila","Volume 3","Betula pumila"
"Bidens beckii","Volume 21","Bidens beckii"
"Bidens cernua","Volume 21","Bidens cernua"
"Bidens connata","Volume 21","Bidens connata"
"Bidens discoidea","Volume 21","Bidens discoidea"
"Bidens frondosa","Volume 21","Bidens frondosa"
"Bidens hyperborea","Volume 21","Bidens hyperborea"
"Bidens vulgata","Volume 21","Bidens vulgata"
"Bistorta officinalis","Volume 5","Bistorta officinalis"
"Blindia acuta","Volume 27","Blindia acuta"
"Blysmopsis rufa","Volume 23","Blysmopsis rufa"
"Bolboschoenus maritimus","Volume 23","Bolboschoenus maritimus"
"Bolboschoenus maritimus subsp. paludosus","Volume 23","Bolboschoenus maritimus subsp. paludosus"
"Botrychium dissectum","Volume 2","Botrychium dissectum"
"Botrychium lanceolatum","Volume 2","Botrychium lanceolatum"
"Botrychium lanceolatum subsp. angustisegmentum","Volume 2","Botrychium lanceolatum subsp. angustisegmentum"
"Botrychium lunaria","Volume 2","Botrychium lunaria"
"Botrychium matricariifolium","Volume 2","Botrychium matricariifolium"
"Botrychium minganense","Volume 2","Botrychium minganense"
"Botrychium multifidum","Volume 2","Botrychium multifidum"
"Botrychium simplex","Volume 2","Botrychium simplex"
"Botrychium virginianum","Volume 2","Botrychium virginianum"
"Brachyelytrum","Volume 24","Brachyelytrum"
"Brachyelytrum aristosum","Volume 24","Brachyelytrum aristosum"
"Brachyelytrum erectum","Volume 24","Brachyelytrum erectum"
"Brachytheciastrum velutinum var. velutinum","Volume 28","Brachytheciastrum velutinum var. velutinum"
"Brachythecium acuminatum","Volume 28","Brachythecium acuminatum"
"Brachythecium albicans","Volume 28","Brachythecium albicans"
"Brachythecium campestre","Volume 28","Brachythecium campestre"
"Brachythecium laetum","Volume 28","Brachythecium laetum"
"Brachythecium rivulare","Volume 28","Brachythecium rivulare"
"Brachythecium rutabulum","Volume 28","Brachythecium rutabulum"
"Brasenia schreberi","Volume 3","Brasenia schreberi"
"Brassica juncea","Volume 7","Brassica juncea"
"Brassica napus","Volume 7","Brassica napus"
"Brassica nigra","Volume 7","Brassica nigra"
"Brassica rapa","Volume 7","Brassica rapa"
"Briza","Volume 24","Briza"
"Briza media","Volume 24","Briza media"
"Bromus","Volume 24","Bromus"
"Bromus caroli-henrici","Volume 24","Bromus caroli-henrici"
"Bromus ciliatus","Volume 24","Bromus ciliatus"
"Bromus commutatus","Volume 24","Bromus commutatus"
"Bromus erectus","Volume 24","Bromus erectus"
"Bromus hallii","Volume 24","Bromus hallii"
"Bromus hordeaceus","Volume 24","Bromus hordeaceus"
"Bromus hordeaceus subsp. hordeaceus","Volume 24","Bromus hordeaceus subsp. hordeaceus"
"Bromus hordeaceus subsp. molliformis","Volume 24","Bromus hordeaceus subsp. molliformis"
"Bromus hordeaceus subsp. pseudothominei","Volume 24","Bromus hordeaceus subsp. pseudothominei"
"Bromus hordeaceus subsp. thominei","Volume 24","Bromus hordeaceus subsp. thominei"
"Bromus inermis","Volume 24","Bromus inermis"
"Bromus japonicus","Volume 24","Bromus japonicus"
"Bromus pumpellianus","Volume 24","Bromus pumpellianus"
"Bromus pumpellianus subsp. dicksonii","Volume 24","Bromus pumpellianus subsp. dicksonii"
"Bromus pumpellianus subsp. pumpellianus","Volume 24","Bromus pumpellianus subsp. pumpellianus"
"Bromus racemosus","Volume 24","Bromus racemosus"
"Bromus richardsonii","Volume 24","Bromus richardsonii"
"Bromus riparius","Volume 24","Bromus riparius"
"Bromus secalinus","Volume 24","Bromus secalinus"
"Bromus sect. Bromopsis","Volume 24","Bromus sect. Bromopsis"
"Bromus sect. Bromus","Volume 24","Bromus sect. Bromus"
"Bromus sect. Ceratochloa","Volume 24","Bromus sect. Ceratochloa"
"Bromus sect. Genea","Volume 24","Bromus sect. Genea"
"Bromus sect. Neobromus","Volume 24","Bromus sect. Neobromus"
"Bromus tectorum","Volume 24","Bromus tectorum"
"Brotherella recurvans","Volume 28","Brotherella recurvans"
"Bryhnia novae-angliae","Volume 28","Bryhnia novae-angliae"
"Bryoerythrophyllum recurvirostrum","Volume 27","Bryoerythrophyllum recurvirostrum"
"Bryum argenteum var. argenteum","Volume 28","Bryum argenteum var. argenteum"
"Bryum lanatum","Volume 28","Bryum lanatum"
"Bucklandiella affinis","Volume 27","Bucklandiella affinis"
"Bucklandiella microcarpa","Volume 27","Bucklandiella microcarpa"
"Bucklandiella sudetica","Volume 27","Bucklandiella sudetica"
"Bucklandiella venusta","Volume 27","Bucklandiella venusta"
"Bulbostylis capillaris","Volume 23","Bulbostylis capillaris"
"Bunias orientalis","Volume 7","Bunias orientalis"
"Butomus umbellatus","Volume 22","Butomus umbellatus"
"Buxbaumia aphylla","Volume 27","Buxbaumia aphylla"
"Buxbaumia minakatae","Volume 27","Buxbaumia minakatae"
"Cakile edentula","Volume 7","Cakile edentula"
"Cakile edentula var. edentula","Volume 7","Cakile edentula var. edentula"
"Calamagrostis","Volume 24","Calamagrostis"
"Calamagrostis canadensis","Volume 24","Calamagrostis canadensis"
"Calamagrostis canadensis var. canadensis","Volume 24","Calamagrostis canadensis var. canadensis"
"Calamagrostis canadensis var. macouniana","Volume 24","Calamagrostis canadensis var. macouniana"
"Calamagrostis cinnoides","Volume 24","Calamagrostis cinnoides"
"Calamagrostis epigejos","Volume 24","Calamagrostis epigejos"
"Calamagrostis pickeringii","Volume 24","Calamagrostis pickeringii"
"Calamagrostis stricta","Volume 24","Calamagrostis stricta"
"Calamagrostis stricta subsp. inexpansa","Volume 24","Calamagrostis stricta subsp. inexpansa"
"Calamagrostis stricta subsp. stricta","Volume 24","Calamagrostis stricta subsp. stricta"
"Calamagrostis ×acutiflora","Volume 24","Calamagrostis ×acutiflora"
"Calla palustris","Volume 22","Calla palustris"
"Callicladium haldanianum","Volume 28","Callicladium haldanianum"
"Calliergon cordifolium","Volume 28","Calliergon cordifolium"
"Calliergon giganteum","Volume 28","Calliergon giganteum"
"Calliergonella cuspidata","Volume 28","Calliergonella cuspidata"
"Callitriche heterophylla","Volume 17","Callitriche heterophylla"
"Calluna vulgaris","Volume 8","Calluna vulgaris"
"Calopogon tuberosus var. tuberosus","Volume 26","Calopogon tuberosus var. tuberosus"
"Caltha palustris","Volume 3","Caltha palustris"
"Calypso bulbosa var. americana","Volume 26","Calypso bulbosa var. americana"
