"","Volume","Taxon name"
"Calliergon cordifolium","Volume 28","Calliergon cordifolium"
"Calliergon giganteum","Volume 28","Calliergon giganteum"
"Calliergonella cuspidata","Volume 28","Calliergonella cuspidata"
"Callitriche palustris","Volume 17","Callitriche palustris"
"Calopogon tuberosus var. tuberosus","Volume 26","Calopogon tuberosus var. tuberosus"
"Caltha palustris","Volume 3","Caltha palustris"
"Calypso bulbosa var. americana","Volume 26","Calypso bulbosa var. americana"
"Camelina microcarpa","Volume 7","Camelina microcarpa"
"Campyliadelphus chrysophyllus","Volume 28","Campyliadelphus chrysophyllus"
"Campylostelium saxicola","Volume 27","Campylostelium saxicola"
"Cardamine pensylvanica","Volume 7","Cardamine pensylvanica"
"Carex aquatilis","Volume 23","Carex aquatilis"
"Carex aquatilis var. aquatilis","Volume 23","Carex aquatilis var. aquatilis"
"Carex arctata","Volume 23","Carex arctata"
"Carex aurea","Volume 23","Carex aurea"
"Carex bebbii","Volume 23","Carex bebbii"
"Carex brunnescens","Volume 23","Carex brunnescens"
"Carex brunnescens subsp. brunnescens","Volume 23","Carex brunnescens subsp. brunnescens"
"Carex brunnescens subsp. sphaerostachya","Volume 23","Carex brunnescens subsp. sphaerostachya"
"Carex canescens","Volume 23","Carex canescens"
"Carex canescens subsp. canescens","Volume 23","Carex canescens subsp. canescens"
"Carex canescens subsp. disjuncta","Volume 23","Carex canescens subsp. disjuncta"
"Carex chordorrhiza","Volume 23","Carex chordorrhiza"
"Carex crawfordii","Volume 23","Carex crawfordii"
"Carex crinita","Volume 23","Carex crinita"
"Carex crinita var. crinita","Volume 23","Carex crinita var. crinita"
"Carex cumulata","Volume 23","Carex cumulata"
"Carex debilis","Volume 23","Carex debilis"
"Carex debilis var. rudgei","Volume 23","Carex debilis var. rudgei"
"Carex deweyana","Volume 23","Carex deweyana"
"Carex deweyana var. deweyana","Volume 23","Carex deweyana var. deweyana"
"Carex diandra","Volume 23","Carex diandra"
"Carex disperma","Volume 23","Carex disperma"
"Carex echinata","Volume 23","Carex echinata"
"Carex echinata subsp. echinata","Volume 23","Carex echinata subsp. echinata"
"Carex flava","Volume 23","Carex flava"
"Carex foenea","Volume 23","Carex foenea"
"Carex folliculata","Volume 23","Carex folliculata"
