"x"
"Cynodontium polycarpon"
"Cypripedium acaule"
"Cypripedium parviflorum var. makasin"
"Cypripedium reginae"
"Cystopteris fragilis"
"Dactylis"
"Dactylis glomerata"
"Danthonia"
"Danthonia compressa"
"Danthonia spicata"
"Daphne mezereum"
"Dennstaedtia punctilobula"
"Deparia acrostichoides"
"Deschampsia"
"Deschampsia cespitosa"
"Deschampsia cespitosa subsp. beringensis"
"Deschampsia cespitosa subsp. cespitosa"
"Deschampsia cespitosa subsp. holciformis"
"Deschampsia flexuosa"
"Deschampsia mackenzieana"
"Deschampsia sukatschewii"
"Descurainia sophia"
"Dianthus armeria subsp. armeria"
"Dianthus deltoides subsp. deltoides"
"Dicentra cucullaria"
"Dichanthelium"
"Dichanthelium acuminatum"
"Dichanthelium acuminatum subsp. acuminatum"
"Dichanthelium acuminatum subsp. columbianum"
"Dichanthelium acuminatum subsp. fasciculatum"
"Dichanthelium acuminatum subsp. implicatum"
"Dichanthelium acuminatum subsp. leucothrix"
"Dichanthelium acuminatum subsp. lindheimeri"
"Dichanthelium acuminatum subsp. longiligulatum"
"Dichanthelium acuminatum subsp. sericeum"
"Dichanthelium acuminatum subsp. spretum"
"Dichanthelium acuminatum subsp. thermale"
"Dichanthelium boreale"
"Dichanthelium chamaelonche"
"Dichanthelium chamaelonche subsp. breve"
"Dichanthelium chamaelonche subsp. chamaelonche"
"Dichanthelium depauperatum"
"Dichanthelium ensifolium"
"Dichanthelium ensifolium subsp. curtifolium"
"Dichanthelium ensifolium subsp. ensifolium"
"Dichanthelium nudicaule"
"Dichanthelium perlongum"
"Dichanthelium polyanthes"
"Dichanthelium portoricense"
"Dichanthelium portoricense subsp. patulum"
"Dichanthelium portoricense subsp. portoricense"
"Dichanthelium sect. Angustifolia"
"Dichanthelium sect. Clandestina"
"Dichanthelium sect. Dichanthelium"
"Dichanthelium sect. Ensifolia"
"Dichanthelium sect. Lancearia"
"Dichanthelium sect. Lanuginosa"
"Dichanthelium sect. Linearifolia"
"Dichanthelium sect. Macrocarpa"
"Dichanthelium sect. Nudicaulia"
"Dichanthelium sect. Oligosantha"
"Dichanthelium sect. Pedicellata"
"Dichanthelium sect. Sphaerocarpa"
"Dichanthelium sect. Strigosa"
"Dichanthelium tenue"
"Dichanthelium ×anthophysum"
"Dichodontium pellucidum"
"Dicranella cerviculata"
"Dicranella heteromalla"
"Dicranella rufescens"
"Dicranella subulata"
"Dicranella varia"
"Dicranum bonjeanii"
"Dicranum flagellare"
"Dicranum fuscescens var. fuscescens"
"Dicranum leioneuron"
"Dicranum majus var. majus"
"Dicranum montanum"
"Dicranum ontariense"
"Dicranum polysetum"
"Dicranum scoparium"
"Dicranum spurium"
"Dicranum undulatum"
"Dicranum viride"
"Didymodon fallax"
"Digitaria"
"Digitaria bakeri"
"Digitaria didactyla"
"Digitaria ischaemum"
"Digitaria leucocoma"
"Digitaria sanguinalis"
"Digitaria tomentosa"
"Diphasiastrum complanatum"
"Diphasiastrum digitatum"
"Diphasiastrum sitchense"
"Diphasiastrum tristachyum"
"Diphyscium foliosum"
"Diplotaxis muralis"
"Distichlis"
"Distichlis spicata"
"Ditrichum lineare"
"Ditrichum pusillum"
"Ditrichum rhynchostegium"
"Doellingeria umbellata"
"Doellingeria umbellata var. umbellata"
"Draba incana"
"Drepanocladus aduncus"
"Drosera intermedia"
"Drosera rotundifolia"
"Dryopteris campyloptera"
"Dryopteris carthusiana"
"Dryopteris cristata"
"Dryopteris intermedia"
"Dulichium arundinaceum"
"Dulichium arundinaceum var. arundinaceum"
"Dysphania botrys"
"Echinochloa"
"Echinochloa crus-galli"
"Echinochloa oryzicola"
"Echinochloa pyramidalis"
"Echinocystis lobata"
"Elatine minima"
"Eleocharis acicularis"
"Eleocharis obtusa"
"Eleocharis ovata"
"Eleocharis palustris"
"Eleocharis quinqueflora"
"Eleocharis tenuis"
"Eleocharis tenuis var. tenuis"
"Eleocharis uniglumis"
"Elodium blandowii"
"Elymus"
"Elymus ciliaris"
"Elymus curvatus"
"Elymus dahuricus"
"Elymus pringlei"
"Elymus repens"
"Elymus sierrae"
"Elymus trachycaulus"
"Elymus trachycaulus subsp. subsecundus"
"Elymus trachycaulus subsp. trachycaulus"
"Elymus trachycaulus subsp. virescens"
"Elymus tsukushiensis"
"Elymus violaceus"
"Elymus virginicus"
"Elymus virginicus var. intermedius"
"Elymus virginicus var. jejunus"
"Elymus virginicus var. virginicus"
"Elymus ×pinalenoensis"
"Empetrum atropurpureum"
"Empetrum eamesii"
