"x"
"Carex lenticularis var. lenticularis"
"Carex leptalea"
"Carex leptonervia"
"Carex limosa"
"Carex livida"
"Carex longii"
"Carex lucorum"
"Carex lucorum var. lucorum"
"Carex lupulina"
"Carex lurida"
"Carex mackenziei"
"Carex magellanica"
"Carex magellanica subsp. irrigua"
"Carex michauxiana"
"Carex nigra"
"Carex novae-angliae"
"Carex oligosperma"
"Carex ovalis"
"Carex paleacea"
"Carex pallescens"
"Carex panicea"
"Carex pauciflora"
"Carex peckii"
"Carex pedunculata"
"Carex prairea"
"Carex pseudocyperus"
"Carex radiata"
"Carex recta"
"Carex rosea"
"Carex rostrata"
"Carex saxatilis"
"Carex scabrata"
"Carex scirpoidea"
"Carex scirpoidea subsp. scirpoidea"
"Carex scoparia"
"Carex scoparia var. scoparia"
"Carex silicea"
"Carex spicata"
"Carex stipata"
"Carex stipata var. stipata"
"Carex stricta"
"Carex swanii"
"Carex tenera"
"Carex tenera var. tenera"
"Carex tincta"
"Carex tonsa"
"Carex tonsa var. rugosperma"
"Carex tonsa var. tonsa"
"Carex tribuloides"
"Carex tribuloides var. tribuloides"
"Carex trisperma"
"Carex umbellata"
"Carex utriculata"
"Carex vacillans"
"Carex vesicaria"
"Carex viridula"
"Carex viridula subsp. oedocarpa"
"Carex viridula var. elatior"
"Carex viridula var. saxilittoralis"
"Carex viridula var. viridula"
"Carex vulpinoidea"
"Carex wiegandii"
"Centaurea benedicta"
"Centaurea cyanus"
"Centaurea nigra"
"Centaurea stoebe"
"Centaurea stoebe subsp. micranthos"
"Centaurea ×moncktonii"
"Cerastium arvense"
"Cerastium arvense subsp. strictum"
"Cerastium fontanum"
"Cerastium fontanum subsp. vulgare"
"Cerastium glomeratum"
"Cerastium pumilum"
"Cerastium semidecandrum"
"Cerastium tomentosum"
"Ceratodon purpureus subsp. purpureus"
"Ceratophyllum demersum"
"Ceratophyllum echinatum"
"Chaenorhinum minus"
"Chaenorhinum minus subsp. minus"
"Chamaedaphne calyculata"
"Chelidonium majus"
"Chelone glabra"
"Chenopodium album"
"Chenopodium berlandieri"
"Chenopodium berlandieri var. macrocalycium"
"Chenopodium bonus-henricus"
"Chenopodium capitatum"
"Chenopodium capitatum var. capitatum"
"Chenopodium glaucum"
"Chenopodium glaucum var. glaucum"
"Chenopodium rubrum"
"Chenopodium rubrum var. humile"
"Chenopodium rubrum var. rubrum"
"Chenopodium simplex"
"Chenopodium urbicum"
"Chimaphila umbellata"
"Chimaphila umbellata subsp. umbellata"
"Chrysosplenium americanum"
"Cichorium intybus"
"Cinclidium arcticum"
"Cinna"
"Cinna latifolia"
"Cirsium arvense"
"Cirsium muticum"
"Cirsium palustre"
"Cirsium vulgare"
"Cladium mariscoides"
"Claytonia caroliniana"
"Clematis virginiana"
"Clethra alnifolia"
"Climacium americanum"
"Climacium dendroides"
"Clintonia borealis"
"Cochlearia tridactylites"
"Codriophorus acicularis"
"Codriophorus fascicularis"
"Coeloglossum viride"
"Collinsia parviflora"
"Comandra umbellata"
"Comandra umbellata subsp. umbellata"
"Comarum palustre"
"Comptonia peregrina"
"Conardia compacta"
"Conopholis americana"
"Conringia orientalis"
"Convallaria majalis var. majalis"
"Conyza canadensis"
"Coptis trifolia"
"Corallorhiza maculata var. maculata"
"Corallorhiza maculata var. occidentalis"
"Corallorhiza trifida"
"Corema conradii"
"Coreopsis rosea"
"Cornus alternifolia"
"Cornus canadensis"
"Cornus rugosa"
"Cornus sericea"
"Cornus suecica"
"Corydalis sempervirens"
"Corylus cornuta subsp. cornuta"
"Cota tinctoria"
"Cotula coronopifolia"
"Crassula aquatica"
"Crataegus chrysocarpa"
"Crataegus chrysocarpa var. chrysocarpa"
"Crataegus flabellata"
"Crataegus jonesiae"
"Crataegus macrosperma"
"Crataegus monogyna"
"Crataegus monogyna var. monogyna"
"Crataegus scabrida"
"Crataegus scabrida var. scabrida"
"Crataegus submollis"
"Cratoneuron filicinum"
"Crepis capillaris"
"Crepis tectorum"
"Crocanthemum canadense"
"Cryptogramma stelleri"
"Ctenidium molluscum"
"Cyclachaena xanthiifolia"
"Cynodontium polycarpon"
"Cynodontium strumiferum"
"Cynodontium tenellum"
"Cynosurus"
"Cynosurus cristatus"
"Cyperus dentatus"
"Cyperus diandrus"
"Cyperus lupulinus"
"Cyperus lupulinus subsp. macilentus"
"Cypripedium acaule"
"Cypripedium arietinum"
"Cypripedium parviflorum var. pubescens"
"Cypripedium reginae"
"Cyrtomnium hymenophylloides"
"Cystopteris bulbifera"
"Cystopteris fragilis"
