"x"
"Carex buxbaumii"
"Carex canescens"
"Carex canescens subsp. canescens"
"Carex canescens subsp. disjuncta"
"Carex capillaris"
"Carex castanea"
"Carex cephaloidea"
"Carex chordorrhiza"
"Carex communis"
"Carex communis var. communis"
"Carex concinna"
"Carex conoidea"
"Carex crawei"
"Carex crawfordii"
"Carex crinita"
"Carex crinita var. crinita"
"Carex cryptolepis"
"Carex cumulata"
"Carex debilis"
"Carex debilis var. rudgei"
"Carex deflexa"
"Carex deflexa var. deflexa"
"Carex deweyana"
"Carex deweyana var. deweyana"
"Carex diandra"
"Carex disperma"
"Carex eburnea"
"Carex echinata"
"Carex echinata subsp. echinata"
"Carex exilis"
"Carex flava"
"Carex foenea"
"Carex folliculata"
"Carex garberi"
"Carex glareosa"
"Carex glareosa subsp. glareosa"
"Carex gracillima"
"Carex granularis"
"Carex grisea"
"Carex gynandra"
"Carex gynocrates"
"Carex haydenii"
"Carex hirtifolia"
"Carex hormathodes"
"Carex houghtoniana"
"Carex interior"
"Carex intumescens"
"Carex lachenalii"
"Carex lacustris"
"Carex lenticularis"
"Carex lenticularis var. lenticularis"
"Carex leptalea"
"Carex leptonervia"
"Carex limosa"
"Carex livida"
"Carex lucorum"
"Carex lucorum var. lucorum"
"Carex lupulina"
"Carex mackenziei"
"Carex magellanica"
"Carex magellanica subsp. irrigua"
"Carex media"
"Carex merritt-fernaldii"
"Carex michauxiana"
"Carex muricata"
"Carex muricata subsp. lamprocarpa"
"Carex nigra"
"Carex novae-angliae"
"Carex oligosperma"
"Carex ormostachya"
"Carex ovalis"
"Carex paleacea"
"Carex pallescens"
"Carex panicea"
"Carex pauciflora"
"Carex peckii"
"Carex pedunculata"
"Carex pellita"
"Carex plantaginea"
"Carex platyphylla"
"Carex prairea"
"Carex projecta"
"Carex pseudocyperus"
"Carex radiata"
"Carex retrorsa"
"Carex rosea"
"Carex rostrata"
"Carex salina"
"Carex saxatilis"
"Carex scabrata"
"Carex scirpoidea"
"Carex scirpoidea subsp. scirpoidea"
"Carex scoparia"
"Carex scoparia var. scoparia"
"Carex scoparia var. tessellata"
"Carex silicea"
"Carex sprengelii"
"Carex stipata"
"Carex stipata var. stipata"
"Carex stricta"
"Carex swanii"
"Carex tenera"
"Carex tenera var. tenera"
"Carex tenuiflora"
"Carex tincta"
"Carex tonsa"
"Carex tonsa var. tonsa"
"Carex tribuloides"
"Carex tribuloides var. tribuloides"
"Carex trisperma"
"Carex tuckermanii"
"Carex umbellata"
"Carex utriculata"
"Carex vacillans"
"Carex vaginata"
"Carex vesicaria"
"Carex viridula"
"Carex viridula var. elatior"
"Carex viridula var. viridula"
"Carex vulpinoidea"
"Castilleja septentrionalis"
"Catabrosa"
"Catabrosa aquatica"
"Catoscopium nigritum"
"Caulophyllum thalictroides"
"Celastrus orbiculatus"
"Centaurea benedicta"
"Centaurea cyanus"
"Centaurea jacea"
"Centaurea montana"
"Centaurea nigra"
"Centaurea scabiosa"
"Centaurea stoebe"
"Centaurea stoebe subsp. micranthos"
"Cerastium arvense"
"Cerastium arvense subsp. strictum"
"Cerastium fontanum"
"Cerastium fontanum subsp. vulgare"
"Cerastium pumilum"
"Cerastium tomentosum"
"Ceratodon purpureus subsp. purpureus"
"Ceratophyllum demersum"
"Ceratophyllum echinatum"
"Chaenorhinum minus"
"Chaenorhinum minus subsp. minus"
"Chamaedaphne calyculata"
"Chelidonium majus"
"Chelone glabra"
"Chenopodium album"
"Chenopodium bonus-henricus"
"Chenopodium capitatum"
"Chenopodium capitatum var. capitatum"
"Chenopodium glaucum"
"Chenopodium glaucum var. glaucum"
"Chenopodium murale"
"Chenopodium polyspermum"
"Chenopodium polyspermum var. acutifolium"
"Chenopodium rubrum"
"Chenopodium rubrum var. humile"
"Chenopodium rubrum var. rubrum"
"Chenopodium simplex"
"Chimaphila umbellata"
"Chimaphila umbellata subsp. umbellata"
"Chrysosplenium americanum"
"Cichorium intybus"
"Cinna"
"Cinna arundinacea"
"Cinna latifolia"
"Cirriphyllum piliferum"
"Cirsium arvense"
"Cirsium muticum"
"Cirsium vulgare"
"Cladium mariscoides"
"Claytonia caroliniana"
"Clematis occidentalis"
"Clematis occidentalis var. occidentalis"
"Clematis virginiana"
"Climacium dendroides"
"Clintonia borealis"
"Codriophorus acicularis"
"Codriophorus fascicularis"
"Coeloglossum viride"
"Comandra umbellata"
"Comandra umbellata subsp. umbellata"
"Comarum palustre"
"Comptonia peregrina"
"Conostomum tetragonum"
"Conringia orientalis"
"Convallaria majalis var. majalis"
"Coptis trifolia"
"Corallorhiza maculata var. maculata"
"Corallorhiza maculata var. occidentalis"
"Corallorhiza trifida"
"Cornus alternifolia"
"Cornus canadensis"
"Cornus obliqua"
"Cornus rugosa"
"Cornus sericea"
"Corydalis sempervirens"
"Corylus cornuta subsp. cornuta"
"Cota tinctoria"
"Cotula coronopifolia"
"Crassula aquatica"
"Crataegus chrysocarpa"
"Crataegus chrysocarpa var. chrysocarpa"
"Crataegus flabellata"
"Crataegus jonesiae"
"Crataegus macracantha"
"Crataegus macrosperma"
"Crataegus monogyna"
"Crataegus monogyna var. monogyna"
"Crataegus punctata"
"Crataegus scabrida"
"Crataegus scabrida var. scabrida"
"Crataegus submollis"
"Cratoneuron filicinum"
"Crepis capillaris"
"Crepis tectorum"
"Cryptogramma stelleri"
"Cyclachaena xanthiifolia"
"Cymbalaria muralis"
"Cymbalaria muralis subsp. muralis"
"Cynodontium polycarpon"
"Cynodontium strumiferum"
"Cyperus dentatus"
"Cyperus diandrus"
"Cyperus esculentus"
"Cyperus esculentus var. leptostachyus"
"Cyperus lupulinus"
"Cyperus lupulinus subsp. macilentus"
"Cyperus squarrosus"
"Cypripedium acaule"
"Cypripedium parviflorum var. makasin"
"Cypripedium parviflorum var. pubescens"
"Cypripedium reginae"
"Cyrto-hypnum minutulum"
"Cyrtomnium hymenophylloides"
