"x"
"Glyceria canadensis"
"Glyceria canadensis var. canadensis"
"Glyceria canadensis var. laxa"
"Glyceria elata"
"Glyceria notata"
"Glyceria sect. Glyceria"
"Glyceria sect. Hydropoa"
"Glyceria sect. Striatae"
"Glyceria striata"
"Goodyera repens"
"Grimmia longirostris"
"Grimmia sessitana"
"Grimmia torquata"
"Harrimanella hypnoides"
"Hedwigia ciliata"
"Hennediella heimii var. heimii"
"Herzogiella striatella"
"Herzogiella turfacea"
"Heterocladium dimorphum"
"Hieracium aurantiacum"
"Hieracium umbellatum"
"Hieracium vulgatum"
"Hippuris vulgaris"
"Homalia trichomanoides var. trichomanoides"
"Hordeum"
"Hordeum brachyantherum"
"Hordeum brachyantherum subsp. brachyantherum"
"Hordeum brachyantherum subsp. californicum"
"Hordeum jubatum"
"Hordeum jubatum subsp. intermedium"
"Hordeum jubatum subsp. jubatum"
"Hordeum secalinum"
"Hygroamblystegium varium var. varium"
"Hygrohypnum alpestre"
"Hygrohypnum duriusculum"
"Hygrohypnum luridum"
"Hygrohypnum ochraceum"
"Hygrohypnum smithii"
"Hylocomiastrum pyrenaicum"
"Hylocomiastrum umbratum"
"Hylocomium splendens"
"Hymenostylium recurvirostrum var. recurvirostrum"
"Hypnum bambergeri"
"Hypnum cupressiforme var. cupressiforme"
"Hypnum imponens"
"Hypnum lindbergii"
"Hypnum pallescens"
"Hypnum plicatulum"
"Hypnum recurvatum"
"Hypnum revolutum var. revolutum"
"Hypnum vaucheri"
"Imbribryum alpinum"
"Imbribryum miniatum"
"Imbribryum muehlenbeckii"
"Iris hookeri"
"Iris versicolor"
"Isopterygiopsis muelleriana"
"Isopterygiopsis pulchella"
"Juncus alpinoarticulatus"
"Juncus anthelatus"
"Juncus arcticus var. balticus"
"Juncus brevicaudatus"
"Juncus bufonius"
"Juncus dudleyi"
"Juncus filiformis"
"Juncus nodosus"
"Juncus stygius var. americanus"
"Juncus subtilis"
"Juncus trifidus"
"Juncus triglumis var. albescens"
"Kalmia procumbens"
"Kobresia myosuroides"
"Kobresia simpliciuscula"
"Lactuca biennis"
"Lemna turionifera"
"Lepidium densiflorum"
"Leptobryum pyriforme"
"Leptodictyum riparium"
"Lescuraea saxicola"
"Leskeella nervosa"
"Leymus"
"Leymus californicus"
"Leymus mollis"
"Leymus mollis subsp. mollis"
"Leymus mollis subsp. villosissimus"
"Leymus salina"
"Leymus salina subsp. mojavensis"
"Leymus salina subsp. salina"
"Leymus salina subsp. salmonis"
"Limosella aquatica"
"Limosella australis"
"Linaria vulgaris"
"Listera auriculata"
"Listera borealis"
"Listera cordata var. cordata"
"Loeskypnum badium"
"Loeskypnum wickesiae"
"Luzula multiflora"
"Luzula parviflora"
"Luzula spicata"
"Lysimachia terrestris"
"Maianthemum canadense"
"Maianthemum trifolium"
"Malaxis monophyllos var. brachypoda"
"Matricaria discoidea"
"Meesia longiseta"
"Meesia triquetra"
"Meesia uliginosa"
"Micranthes foliolosa"
"Mielichhoferia elongata"
"Milium"
"Milium effusum"
"Minuartia dawsonensis"
"Minuartia groenlandica"
"Minuartia rubella"
"Mitella nuda"
"Mnium hornum"
"Mnium lycopodioides"
"Mnium marginatum"
"Mnium spinulosum"
"Mnium stellare"
"Mnium thomsonii"
"Moehringia lateriflora"
"Moneses uniflora"
"Monotropa uniflora"
"Montia fontana"
"Muhlenbergia"
"Muhlenbergia diversiglumis"
"Muhlenbergia glabrifloris"
"Muhlenbergia sericea"
"Muhlenbergia uniflora"
"Myurella julacea"
"Myurella sibirica"
"Myurella tenerrima"
"Neckera complanata"
"Neckera pennata"
"Niphotrichum canescens subsp. canescens"
"Niphotrichum ericoides"
"Oclemena nemoralis"
"Omalotheca norvegica"
"Omalotheca supina"
"Orthilia secunda"
"Orthothecium chryseum var. chryseum"
"Orthotrichum alpestre"
"Orthotrichum anomalum"
"Orthotrichum elegans"
"Orthotrichum obtusifolium"
"Orthotrichum pylaisii"
"Orthotrichum sordidum"
"Orthotrichum speciosum"
"Oxalis montana"
"Oxyria digyna"
"Packera aurea"
"Packera pauciflora"
"Packera paupercula"
"Paludella squarrosa"
"Palustriella falcata"
"Parnassia kotzebuei"
"Parnassia palustris"
"Parnassia parviflora"
"Pedicularis flammea"
"Persicaria amphibia"
"Persicaria lapathifolia"
"Persicaria maculosa"
"Petasites frigidus"
"Petasites frigidus var. palmatus"
"Philonotis fontana var. fontana"
"Phleum"
"Phleum alpinum"
"Phleum phleoides"
"Phleum pratense"
"Phyllodoce caerulea"
"Physaria arctica"
"Plagiobryum demissum"
