"Taxon Name", "Match", "Number of Matches", "Matches"
"Alisma Gramineum", "yes", "7", "Alisma Linnaeus, Alisma triviale Pursh, Baldellia ranunculoides (Linnaeus) Parlatore, Alisma gramineum Lejeune, Alisma lanceolatum Withering, Alisma plantago-aquatica Linnaeus, Alisma subcordatum Rafinesque"
"Alisma Triviale", "yes", "7", "Alisma Linnaeus, Alisma triviale Pursh, Baldellia ranunculoides (Linnaeus) Parlatore, Alisma gramineum Lejeune, Alisma lanceolatum Withering, Alisma plantago-aquatica Linnaeus, Alisma subcordatum Rafinesque"
"Allium Cernuum", "yes", "1", "Allium Linnaeus"
"Allium Geyeri Var. Geyeri", "yes", "1", "Allium Linnaeus"
"Allium Geyeri Var. Tenerum", "yes", "1", "Allium Linnaeus"
"Allium Schoenoprasum", "yes", "1", "Allium Linnaeus"
"Allium Textile", "yes", "1", "Allium Linnaeus"
"Almutaster Pauciflorus", "yes", "1", "Almutaster Á. Löve & D. Löve"
"Alnus Incana", "yes", "4", "Alnus Miller, Alnus glutinosa (Linnaeus) Gaertner, Alnus incana subsp. rugosa (Du Roi) R.T. Clausen, Frangula alnus Miller"
"Alnus Incana Subsp. Tenuifolia", "yes", "4", "Alnus Miller, Alnus glutinosa (Linnaeus) Gaertner, Alnus incana subsp. rugosa (Du Roi) R.T. Clausen, Frangula alnus Miller"
"Alnus Viridis", "yes", "4", "Alnus Miller, Alnus glutinosa (Linnaeus) Gaertner, Alnus incana subsp. rugosa (Du Roi) R.T. Clausen, Frangula alnus Miller"
"Alnus Viridis Subsp. Crispa", "yes", "4", "Alnus Miller, Alnus glutinosa (Linnaeus) Gaertner, Alnus incana subsp. rugosa (Du Roi) R.T. Clausen, Frangula alnus Miller"
"Alnus Viridis Subsp. Fruticosa", "yes", "4", "Alnus Miller, Alnus glutinosa (Linnaeus) Gaertner, Alnus incana subsp. rugosa (Du Roi) R.T. Clausen, Frangula alnus Miller"
"Alnus Viridis Subsp. Sinuata", "yes", "4", "Alnus Miller, Alnus glutinosa (Linnaeus) Gaertner, Alnus incana subsp. rugosa (Du Roi) R.T. Clausen, Frangula alnus Miller"
"Aloina Brevirostris", "no", "0", "NA"
"Aloina Rigida Var. Rigida", "no", "0", "NA"
"Alopecurus", "yes", "1", "Alopecurus Linnaeus"
"Alopecurus Aequalis", "yes", "1", "Alopecurus Linnaeus"
"Alopecurus Aequalis Var. Aequalis", "yes", "1", "Alopecurus Linnaeus"
"Alopecurus Arundinaceus", "yes", "1", "Alopecurus Linnaeus"
"Alopecurus Carolinianus", "yes", "1", "Alopecurus Linnaeus"
"Alopecurus Geniculatus", "yes", "1", "Alopecurus Linnaeus"
"Alopecurus Magellanicus", "yes", "1", "Alopecurus Linnaeus"
"Alopecurus Pratensis", "yes", "1", "Alopecurus Linnaeus"
"Alyssum Alyssoides", "yes", "10", "Alyssum Linnaeus, Phlox alyssifolia Greene, Odontarrhena obovatum C.A. Meyer, Camelina alyssum (P. Miller) Thellung, Alyssum turkestanicum Regel & Schmalhausen, Berteroa incana (Linnaeus) de Candolle, Camelina alyssum (P. Miller) Thellung, Alyssum alyssoides (Linnaeus) Linnaeus, Odontarrhena muralis (Waldstein & Kitaibel) Endlicher, Lobularia maritima (Linnaeus) Desvaux"
"Alyssum Desertorum", "yes", "10", "Alyssum Linnaeus, Phlox alyssifolia Greene, Odontarrhena obovatum C.A. Meyer, Camelina alyssum (P. Miller) Thellung, Alyssum turkestanicum Regel & Schmalhausen, Berteroa incana (Linnaeus) de Candolle, Camelina alyssum (P. Miller) Thellung, Alyssum alyssoides (Linnaeus) Linnaeus, Odontarrhena muralis (Waldstein & Kitaibel) Endlicher, Lobularia maritima (Linnaeus) Desvaux"
