"Taxon Name", "Match", "Number of Matches", "Matches"
"Smelowskia Ovalis", "yes", "6", "Smelowskia C.A. Meyer, Smelowskia americana Rydberg, Smelowskia ovalis M.E. Jones, Smelowskia media (W.H. Drury & Rollins) Velichkin, Smelowskia porsildii (W.H. Drury & Rollins) Jurtzev, Smelowskia borealis (Greene) W.H. Drury & Rollins"
"Solidago Simplex Var. Nana", "yes", "1", "Solidago Linnaeus"
"Soliva Sessilis", "yes", "2", "Soliva Ruiz & Pavon, Soliva sessilis Ruiz & Pavon"
"Sorbus Intermedia", "yes", "1", "Sorbus Linnaeus"
"Sorbus Sitchensis Var. Grayi", "yes", "1", "Sorbus Linnaeus"
"Spartina Anglica", "no", "0", "NA"
"Spartina Densiflora", "no", "0", "NA"
"Spartina Patens", "no", "0", "NA"
"Spartina ?-Townsendii", "no", "0", "NA"
"Spergularia Canadensis", "yes", "1", "Spergularia (Persoon) J. Presl & C. Presl"
"Spergularia Canadensis Var. Occidentalis", "yes", "1", "Spergularia (Persoon) J. Presl & C. Presl"
"Spergularia Macrotheca", "yes", "1", "Spergularia (Persoon) J. Presl & C. Presl"
"Spergularia Macrotheca Var. Macrotheca", "yes", "1", "Spergularia (Persoon) J. Presl & C. Presl"
"Spergularia Rubra", "yes", "1", "Spergularia (Persoon) J. Presl & C. Presl"
"Sphaeralcea Munroana", "yes", "1", "Sphaeralcea A. St.-Hilaire"
"Sphagnum Alaskense", "no", "0", "NA"
"Sphagnum Andersonianum", "no", "0", "NA"
"Sphagnum Aongstroemii", "no", "0", "NA"
"Sphagnum Austinii", "no", "0", "NA"
"Sphagnum Bartlettianum", "no", "0", "NA"
"Sphagnum Henryense", "no", "0", "NA"
"Sphagnum Inexspectatum", "no", "0", "NA"
"Sphagnum Inundatum", "no", "0", "NA"
"Sphagnum Junghuhnianum", "no", "0", "NA"
"Sphagnum Majus Subsp. Majus", "no", "0", "NA"
"Sphagnum Mendocinum", "no", "0", "NA"
"Sphagnum Pacificum", "no", "0", "NA"
"Sphagnum Palustre", "no", "0", "NA"
"Sphagnum Papillosum", "no", "0", "NA"
"Sphagnum Quinquefarium", "no", "0", "NA"
"Sphagnum Rubellum", "no", "0", "NA"
"Sphagnum Rubiginosum", "no", "0", "NA"
"Sphagnum Subfulvum", "no", "0", "NA"
"Sphagnum Subnitens", "no", "0", "NA"
"Sphagnum Tenellum", "no", "0", "NA"
"Sphagnum Wilfii", "no", "0", "NA"
"Spiraea Douglasii", "yes", "18", "Spiraea Linnaeus, Sorbaria sorbifolia (Linnaeus) A. Braun, Spiraea stevenii (C.K. Schneider) Rydberg, Spiraea prunifolia Siebold & Zuccarini, Spiraea corymbosa Rafinesque, Spiraea douglasii Hooker var. douglasii, Spiraea douglasii Hooker, Spiraea chamaedryfolia Linnaeus, Spiraea japonica Linnaeus f., Spiraea douglasii var. menziesii (Hooker) C. Presl, Spiraea alba DuRoi var. alba, Spiraea ×pyramidata Greene, Spiraea splendens var. rosea (A. Gray) Kartesz & Gandhi, Spiraea lucida Douglas ex Greene, Spiraea splendens Baumann ex K. Koch var. splendens, Spiraea splendens Baumann ex K. Koch, Spiraea thunbergii Siebold ex Blume, Spiraea ×vanhouttei (Briot) Carrière"
"Spiraea Douglasii Var. Douglasii", "yes", "18", "Spiraea Linnaeus, Sorbaria sorbifolia (Linnaeus) A. Braun, Spiraea stevenii (C.K. Schneider) Rydberg, Spiraea prunifolia Siebold & Zuccarini, Spiraea corymbosa Rafinesque, Spiraea douglasii Hooker var. douglasii, Spiraea douglasii Hooker, Spiraea chamaedryfolia Linnaeus, Spiraea japonica Linnaeus f., Spiraea douglasii var. menziesii (Hooker) C. Presl, Spiraea alba DuRoi var. alba, Spiraea ×pyramidata Greene, Spiraea splendens var. rosea (A. Gray) Kartesz & Gandhi, Spiraea lucida Douglas ex Greene, Spiraea splendens Baumann ex K. Koch var. splendens, Spiraea splendens Baumann ex K. Koch, Spiraea thunbergii Siebold ex Blume, Spiraea ×vanhouttei (Briot) Carrière"
"Spiraea Douglasii Var. Menziesii", "yes", "18", "Spiraea Linnaeus, Sorbaria sorbifolia (Linnaeus) A. Braun, Spiraea stevenii (C.K. Schneider) Rydberg, Spiraea prunifolia Siebold & Zuccarini, Spiraea corymbosa Rafinesque, Spiraea douglasii Hooker var. douglasii, Spiraea douglasii Hooker, Spiraea chamaedryfolia Linnaeus, Spiraea japonica Linnaeus f., Spiraea douglasii var. menziesii (Hooker) C. Presl, Spiraea alba DuRoi var. alba, Spiraea ×pyramidata Greene, Spiraea splendens var. rosea (A. Gray) Kartesz & Gandhi, Spiraea lucida Douglas ex Greene, Spiraea splendens Baumann ex K. Koch var. splendens, Spiraea splendens Baumann ex K. Koch, Spiraea thunbergii Siebold ex Blume, Spiraea ×vanhouttei (Briot) Carrière"
"Spiraea Stevenii", "yes", "18", "Spiraea Linnaeus, Sorbaria sorbifolia (Linnaeus) A. Braun, Spiraea stevenii (C.K. Schneider) Rydberg, Spiraea prunifolia Siebold & Zuccarini, Spiraea corymbosa Rafinesque, Spiraea douglasii Hooker var. douglasii, Spiraea douglasii Hooker, Spiraea chamaedryfolia Linnaeus, Spiraea japonica Linnaeus f., Spiraea douglasii var. menziesii (Hooker) C. Presl, Spiraea alba DuRoi var. alba, Spiraea ×pyramidata Greene, Spiraea splendens var. rosea (A. Gray) Kartesz & Gandhi, Spiraea lucida Douglas ex Greene, Spiraea splendens Baumann ex K. Koch var. splendens, Spiraea splendens Baumann ex K. Koch, Spiraea thunbergii Siebold ex Blume, Spiraea ×vanhouttei (Briot) Carrière"
"Spiraea ?-Pyramidata", "no", "0", "NA"
"Sporobolus Airoides", "yes", "1", "Sporobolus R. Brown"
"Sporobolus Compositus", "yes", "1", "Sporobolus R. Brown"
"Sporobolus Compositus Var. Compositus", "yes", "1", "Sporobolus R. Brown"
"Sporobolus Vaginiflorus", "yes", "1", "Sporobolus R. Brown"
"Sporobolus Vaginiflorus Var. Vaginiflorus", "yes", "1", "Sporobolus R. Brown"
"Stellaria Alsine", "yes", "1", "Stellaria Linnaeus"
"Stellaria Borealis Subsp. Sitchana", "yes", "1", "Stellaria Linnaeus"
"Stellaria Graminea", "yes", "1", "Stellaria Linnaeus"
"Stellaria Humifusa", "yes", "1", "Stellaria Linnaeus"
"Stellaria Nitens", "yes", "1", "Stellaria Linnaeus"
"Stephanomeria Tenuifolia", "yes", "2", "Stephanomeria Nuttall, Stephanomeria tenuifolia (Rafinesque) H.M. Hall"
"Subularia Aquatica", "yes", "1", "Subularia Linnaeus"
"Subularia Aquatica Subsp. Americana", "yes", "1", "Subularia Linnaeus"
"Symphyotrichum Chilense", "yes", "1", "Symphyotrichum Nees"
"Symphyotrichum Foliaceum Var. Apricum", "yes", "1", "Symphyotrichum Nees"
"Symphyotrichum Frondosum", "yes", "1", "Symphyotrichum Nees"
"Symphyotrichum Pilosum", "yes", "1", "Symphyotrichum Nees"
"Symphyotrichum Pilosum Var. Pilosum", "yes", "1", "Symphyotrichum Nees"
"Symphyotrichum Spathulatum Var. Intermedium", "yes", "1", "Symphyotrichum Nees"
"Syntrichia Laevipila", "no", "0", "NA"
"Syntrichia Latifolia", "no", "0", "NA"
"Syntrichia Papillosissima", "no", "0", "NA"
"Syntrichia Princeps", "no", "0", "NA"
"Takakia Lepidozioides", "no", "0", "NA"
"Tanacetum Parthenium", "yes", "1", "Tanacetum Linnaeus"
"Tayloria Splachnoides", "no", "0", "NA"
"Teesdalia Nudicaulis", "yes", "2", "Teesdalia R. Brown, Teesdalia nudicaulis (Linnaeus) W.T. Aiton"
"Tellima Grandiflora", "yes", "2", "Tellima R. Brown, Tellima grandiflora (Pursh) Douglas ex Lindley"
"Tephroseris Frigida", "yes", "1", "Tephroseris (Reichenbach) Reichenbach"
"Tephroseris Lindstroemii", "yes", "1", "Tephroseris (Reichenbach) Reichenbach"
"Tetradymia Canescens", "yes", "1", "Tetradymia de Candolle"
"Tetraphis Pellucida Var. Trachypoda", "no", "0", "NA"
"Tetraplodon Pallidus", "no", "0", "NA"
"Tetrodontium Brownianum Var. Ovatum", "no", "0", "NA"
"Tetrodontium Repandum", "no", "0", "NA"
"Thalictrum Alpinum", "yes", "1", "Thalictrum Linnaeus"
"Thamnobryum Neckeroides", "no", "0", "NA"
"Thelypodium Laciniatum", "yes", "2", "Thelypodium Endler, Thelypodium laciniatum (Hooker) Endlicher"
"Thelypodium Milleflorum", "yes", "2", "Thelypodium Endler, Thelypodium laciniatum (Hooker) Endlicher"
"Thelypteris Nevadensis", "yes", "4", "Thelypteris Schmidel, Thelypteris palustris var. pubescens (G. Lawson) Fernald, Thelypteris palustris var. pubescens (G. Lawson) Fernald, Thelypteris palustris Schott"
"Thelypteris Quelpaertensis", "yes", "4", "Thelypteris Schmidel, Thelypteris palustris var. pubescens (G. Lawson) Fernald, Thelypteris palustris var. pubescens (G. Lawson) Fernald, Thelypteris palustris Schott"
"Thinopyrum Intermedium", "yes", "1", "Thinopyrum Á. Löve"
"Thinopyrum Intermedium Subsp. Barbulatum", "yes", "1", "Thinopyrum Á. Löve"
"Thinopyrum Intermedium Subsp. Intermedium", "yes", "1", "Thinopyrum Á. Löve"
"Thysanocarpus Curvipes", "yes", "1", "Thysanocarpus Hooker"
"Tiarella Trifoliata Var. Laciniata", "yes", "1", "Tiarella Linnaeus"
"Timmiella Crassinervis", "no", "0", "NA"
"Tofieldia Coccinea", "yes", "7", "Tofieldia Hudson, Triantha glutinosa (Michaux) Baker, Triantha occidentalis subsp. montana (C.L. Hitchcock) Packer, Tofieldia coccinea Richardson, Triantha occidentalis subsp. brevistyla (C.L. Hitchcock) Packer, Tofieldia pusilla (Michaux) Persoon, Triantha occidentalis (S. Watson) Gates"
"Tolmiea Menziesii", "yes", "1", "Tolmiea Torrey & A. Gray"
"Tonella Tenella", "yes", "2", "Tonella Nuttall ex A. Gray, Tonella tenella (Bentham ex A. de Candolle) A. Heller"
"Torreyochloa Pallida Var. Fernaldii", "yes", "1", "Torreyochloa G.L. Church"
"Tortella Humilis", "no", "0", "NA"
"Tortella Inclinata Var. Densa", "no", "0", "NA"
"Tortella Tortuosa Var. Arctica", "no", "0", "NA"
"Tortula Amplexa", "no", "0", "NA"
"Tortula Bolanderi", "no", "0", "NA"
"Tortula Leucostoma", "no", "0", "NA"
"Tortula Muralis", "no", "0", "NA"
"Tortula Protobryoides", "no", "0", "NA"
"Tortula Truncata", "no", "0", "NA"
"Trautvetteria Caroliniensis", "yes", "1", "Trautvetteria Fischer & C.A. Meyer"
"Trematodon Ambiguus", "no", "0", "NA"
"Trematodon Boasii", "no", "0", "NA"
"Triadenum Fraseri", "no", "0", "NA"
"Tribulus Terrestris", "yes", "1", "Tribulus Linnaeus"
"Trichostomum Arcticum", "no", "0", "NA"
"Trichostomum Recurvifolium", "no", "0", "NA"
"Trichostomum Tenuirostre Var. Tenuirostre", "no", "0", "NA"
"Trientalis Latifolia", "no", "0", "NA"
"Triphysaria Pusilla", "yes", "1", "Triphysaria Fischer ex C.A. Meyer"
"Triphysaria Versicolor", "yes", "1", "Triphysaria Fischer ex C.A. Meyer"
"Triphysaria Versicolor Subsp. Versicolor", "yes", "1", "Triphysaria Fischer ex C.A. Meyer"
"Tripterocladium Leucocladulum", "no", "0", "NA"
"Triteleia Grandiflora", "yes", "3", "Triteleia Douglas ex Lindley, Triteleia grandiflora Lindley, Triteleia hyacinthina (Lindley) Greene"
"Triteleia Hyacinthina", "yes", "3", "Triteleia Douglas ex Lindley, Triteleia grandiflora Lindley, Triteleia hyacinthina (Lindley) Greene"
"Tsuga Mertensiana", "yes", "4", "Tsuga (Endler) Carrière, Tsuga heterophylla (Rafinesque) Sargent, Tsuga canadensis (Linnaeus) Carrière, Tsuga mertensiana (Bongard) Carrière"
"Tussilago Farfara", "yes", "1", "Tussilago Linnaeus"
"Typha Angustifolia", "yes", "3", "Typha Linnaeus, Typha angustifolia Linnaeus, Typha latifolia Linnaeus"
"Ulota Barclayi", "no", "0", "NA"
"Ulota Drummondii", "no", "0", "NA"
"Ulota Megalospora", "no", "0", "NA"
"Ulota Obtusiuscula", "no", "0", "NA"
"Ulota Phyllantha", "no", "0", "NA"
"Uropappus Lindleyi", "yes", "1", "Uropappus Nuttall"
"Urtica Dioica Subsp. Dioica", "yes", "1", "Urtica Linnaeus"
"Vaccinium Corymbosum", "yes", "1", "Vaccinium Linnaeus"
"Vaccinium Deliciosum", "yes", "1", "Vaccinium Linnaeus"
"Vaccinium Macrocarpon", "yes", "1", "Vaccinium Linnaeus"
"Vaccinium Ovatum", "yes", "1", "Vaccinium Linnaeus"
"Vaccinium Parvifolium", "yes", "1", "Vaccinium Linnaeus"
"Verbascum Blattaria", "yes", "1", "Verbascum Linnaeus"
"Verbascum Virgatum", "yes", "1", "Verbascum Linnaeus"
"Veronica Argute-Serrata", "yes", "2", "Veronica Linnaeus, Veronica longifolia Linnaeus"
"Veronica Arvensis", "yes", "2", "Veronica Linnaeus, Veronica longifolia Linnaeus"
"Veronica Beccabunga", "yes", "2", "Veronica Linnaeus, Veronica longifolia Linnaeus"
"Veronica Beccabunga Subsp. Beccabunga", "yes", "2", "Veronica Linnaeus, Veronica longifolia Linnaeus"
"Veronica Biloba", "yes", "2", "Veronica Linnaeus, Veronica longifolia Linnaeus"
"Veronica Cusickii", "yes", "2", "Veronica Linnaeus, Veronica longifolia Linnaeus"
"Veronica Filiformis", "yes", "2", "Veronica Linnaeus, Veronica longifolia Linnaeus"
"Veronica Hederifolia", "yes", "2", "Veronica Linnaeus, Veronica longifolia Linnaeus"
"Veronica Officinalis", "yes", "2", "Veronica Linnaeus, Veronica longifolia Linnaeus"
"Veronica Verna", "yes", "2", "Veronica Linnaeus, Veronica longifolia Linnaeus"
"Viola Adunca Var. Bellidifolia", "yes", "1", "Viola Linnaeus"
"Viola Biflora", "yes", "1", "Viola Linnaeus"
"Viola Biflora Var. Biflora", "yes", "1", "Viola Linnaeus"
"Viola Biflora Var. Carlottae", "yes", "1", "Viola Linnaeus"
"Viola Howellii", "yes", "1", "Viola Linnaeus"
"Viola Lanceolata", "yes", "1", "Viola Linnaeus"
"Viola Langsdorffii", "yes", "1", "Viola Linnaeus"
"Viola Odorata", "yes", "1", "Viola Linnaeus"
"Viola Praemorsa Var. Praemorsa", "yes", "1", "Viola Linnaeus"
"Viola Purpurea", "yes", "1", "Viola Linnaeus"
"Viola Purpurea Var. Venosa", "yes", "1", "Viola Linnaeus"
"Viola Riviniana", "yes", "1", "Viola Linnaeus"
"Viola Sempervirens", "yes", "1", "Viola Linnaeus"
"Viola Sororia", "yes", "1", "Viola Linnaeus"
"Viola Vallicola", "yes", "1", "Viola Linnaeus"
"Viscum Album", "yes", "1", "Viscum Linnaeus"
"Viscum Album Subsp. Album", "yes", "1", "Viscum Linnaeus"
"Vitis Vinifera", "yes", "1", "Vitis Linnaeus"
"Vulpia Bromoides", "yes", "4", "Vulpia C.C. Gmelin, Vulpia myuros (Linnaeus) C.C. Gmelin, Vulpia octoflora var. glauca (Nuttall) Fernald, Vulpia bromoides (Linnaeus) Gray"
"Vulpia Microstachys", "yes", "4", "Vulpia C.C. Gmelin, Vulpia myuros (Linnaeus) C.C. Gmelin, Vulpia octoflora var. glauca (Nuttall) Fernald, Vulpia bromoides (Linnaeus) Gray"
"Vulpia Microstachys Var. Confusa", "yes", "4", "Vulpia C.C. Gmelin, Vulpia myuros (Linnaeus) C.C. Gmelin, Vulpia octoflora var. glauca (Nuttall) Fernald, Vulpia bromoides (Linnaeus) Gray"
"Vulpia Microstachys Var. Pauciflora", "yes", "4", "Vulpia C.C. Gmelin, Vulpia myuros (Linnaeus) C.C. Gmelin, Vulpia octoflora var. glauca (Nuttall) Fernald, Vulpia bromoides (Linnaeus) Gray"
"Vulpia Myuros", "yes", "4", "Vulpia C.C. Gmelin, Vulpia myuros (Linnaeus) C.C. Gmelin, Vulpia octoflora var. glauca (Nuttall) Fernald, Vulpia bromoides (Linnaeus) Gray"
"Vulpia Octoflora Var. Glauca", "yes", "4", "Vulpia C.C. Gmelin, Vulpia myuros (Linnaeus) C.C. Gmelin, Vulpia octoflora var. glauca (Nuttall) Fernald, Vulpia bromoides (Linnaeus) Gray"
"Vulpia Octoflora Var. Hirtella", "yes", "4", "Vulpia C.C. Gmelin, Vulpia myuros (Linnaeus) C.C. Gmelin, Vulpia octoflora var. glauca (Nuttall) Fernald, Vulpia bromoides (Linnaeus) Gray"
"Warnstorfia Pseudostraminea", "no", "0", "NA"
"Weissia Brachycarpa", "no", "0", "NA"
"Wijkia", "no", "0", "NA"
"Wijkia Carlottae", "no", "0", "NA"
"Woodsia Alpina", "yes", "16", "Woodsia R. Brown, Woodsia ×abbeae Butters, Woodsia alpina (Bolton) Gray, Woodsia obtusa (Sprengel) Torrey, Woodsia obtusa (Sprengel) Torrey subsp. obtusa, Woodsia oregana subsp. cathcartiana (B.L. Robinson) Windham, Woodsia ilvensis (Linnaeus) R. Brown, Woodsia scopulina subsp. laurentiana Windham, Woodsia ×maxonii R. Tryon, Woodsia scopulina D.C. Eaton subsp. scopulina, Woodsia scopulina D. C. Eaton, Woodsia oregana D.C. Eaton subsp. oregana, Woodsia oregana D.C. Eaton, Woodsia ×gracilis (G. Lawson) Butters, Woodsia glabella R. Brown ex Richardson, Woodsia ×tryonis B. Boivin"
"Woodwardia Fimbriata", "yes", "1", "Woodwardia Smith"
"Zigadenus Venenosus Var. Venenosus", "no", "0", "NA"
"Zizania Palustris", "yes", "6", "Zizania Linnaeus, Zizania aquatica var. brevis Fassett, Zizania palustris var. interior (Fassett) Dore, Zizania palustris Linnaeus, Zizania palustris Linnaeus var. palustris, Zizania aquatica Linnaeus var. aquatica"
"Zizania Palustris Var. Palustris", "yes", "6", "Zizania Linnaeus, Zizania aquatica var. brevis Fassett, Zizania palustris var. interior (Fassett) Dore, Zizania palustris Linnaeus, Zizania palustris Linnaeus var. palustris, Zizania aquatica Linnaeus var. aquatica"
"Zostera Japonica", "yes", "1", "Zostera Linnaeus"
"Zostera Marina", "yes", "1", "Zostera Linnaeus"
"Zygodon Gracilis", "no", "0", "NA"
"Zygodon Reinwardtii", "no", "0", "NA"
"Elyleymus", "no", "0", "NA"
"Agalinis Aspera", "yes", "11", "Agalinis Rafinesque, Agalinis tenuifolia (Vahl) Rafinesque, Agalinis gattingeri (Small) Small, Agalinis purpurea (Linnaeus) Pennell var. purpurea, Agalinis neoscotica (Greene) Fernald, Agalinis purpurea (Linnaeus) Pennell, Agalinis aspera (Douglas ex Bentham) Britton, Agalinis maritima (Rafinesque) Rafinesque, Agalinis maritima (Rafinesque) Rafinesque var. maritima, Agalinis skinneriana (Alph. Wood)  Britton, Agalinis purpurea var. parviflora (Bentham) B. Boivin"
"Agalinis Gattingeri", "yes", "11", "Agalinis Rafinesque, Agalinis tenuifolia (Vahl) Rafinesque, Agalinis gattingeri (Small) Small, Agalinis purpurea (Linnaeus) Pennell var. purpurea, Agalinis neoscotica (Greene) Fernald, Agalinis purpurea (Linnaeus) Pennell, Agalinis aspera (Douglas ex Bentham) Britton, Agalinis maritima (Rafinesque) Rafinesque, Agalinis maritima (Rafinesque) Rafinesque var. maritima, Agalinis skinneriana (Alph. Wood)  Britton, Agalinis purpurea var. parviflora (Bentham) B. Boivin"
"Agalinis Purpurea", "yes", "11", "Agalinis Rafinesque, Agalinis tenuifolia (Vahl) Rafinesque, Agalinis gattingeri (Small) Small, Agalinis purpurea (Linnaeus) Pennell var. purpurea, Agalinis neoscotica (Greene) Fernald, Agalinis purpurea (Linnaeus) Pennell, Agalinis aspera (Douglas ex Bentham) Britton, Agalinis maritima (Rafinesque) Rafinesque, Agalinis maritima (Rafinesque) Rafinesque var. maritima, Agalinis skinneriana (Alph. Wood)  Britton, Agalinis purpurea var. parviflora (Bentham) B. Boivin"
"Agalinis Purpurea Var. Parviflora", "yes", "11", "Agalinis Rafinesque, Agalinis tenuifolia (Vahl) Rafinesque, Agalinis gattingeri (Small) Small, Agalinis purpurea (Linnaeus) Pennell var. purpurea, Agalinis neoscotica (Greene) Fernald, Agalinis purpurea (Linnaeus) Pennell, Agalinis aspera (Douglas ex Bentham) Britton, Agalinis maritima (Rafinesque) Rafinesque, Agalinis maritima (Rafinesque) Rafinesque var. maritima, Agalinis skinneriana (Alph. Wood)  Britton, Agalinis purpurea var. parviflora (Bentham) B. Boivin"
"Agalinis Tenuifolia", "yes", "11", "Agalinis Rafinesque, Agalinis tenuifolia (Vahl) Rafinesque, Agalinis gattingeri (Small) Small, Agalinis purpurea (Linnaeus) Pennell var. purpurea, Agalinis neoscotica (Greene) Fernald, Agalinis purpurea (Linnaeus) Pennell, Agalinis aspera (Douglas ex Bentham) Britton, Agalinis maritima (Rafinesque) Rafinesque, Agalinis maritima (Rafinesque) Rafinesque var. maritima, Agalinis skinneriana (Alph. Wood)  Britton, Agalinis purpurea var. parviflora (Bentham) B. Boivin"
"Agrostemma Githago Var. Githago", "yes", "1", "Agrostemma Linnaeus"
"Allium Stellatum", "yes", "1", "Allium Linnaeus"
"Alnus Incana Subsp. Rugosa", "yes", "4", "Alnus Miller, Alnus glutinosa (Linnaeus) Gaertner, Alnus incana subsp. rugosa (Du Roi) R.T. Clausen, Frangula alnus Miller"
"Alopecurus Myosuroides", "yes", "1", "Alopecurus Linnaeus"
"Amaranthus Spinosus", "yes", "1", "Amaranthus Adanson"
"Amaranthus Tuberculatus", "yes", "1", "Amaranthus Adanson"
"Amelanchier Humilis", "yes", "22", "Amelanchier Medikus, Amelanchier alnifolia (Nuttall) Nuttall ex M. Roemer, Amelanchier alnifolia (Nuttall) Nuttall ex M. Roemer var. alnifolia, Amelanchier alnifolia var. semiintegrifolia (Hooker) C.L. Hitchcock, Amelanchier arborea (F. Michaux) Fernald, Amelanchier humilis Wiegand, Amelanchier canadensis (Linnaeus) Medikus, Amelanchier bartramiana (Tausch) M. Roemer, Amelanchier ×quinti-martii Louis-Marie, Amelanchier cusickii Fernald, Amelanchier fernaldii Wiegand, Amelanchier gaspensis (Wiegand) Fernald & Weatherby, Amelanchier interior E.L. Nielsen, Amelanchier lamarckii F.G. Schroeder, Amelanchier nantucketensis E.P. Bicknell, Amelanchier canadensis (Linnaeus) Medikus var. canadensis, Amelanchier spicata (Lamarck) K. Koch, Amelanchier laevis Wiegand, Amelanchier amabilis Wiegand, Amelanchier intermedia Spach, Amelanchier alnifolia var. pumila (Torrey & A. Gray) A. Nelson, Amelanchier sanguinea (Pursh) de Candolle"
"Andromeda Polifolia Var. Latifolia", "yes", "1", "Andromeda Linnaeus"
"Andropogon", "yes", "1", "Andropogon Linnaeus"
"Andropogon Gerardii", "yes", "1", "Andropogon Linnaeus"
"Andropogon Hallii", "yes", "1", "Andropogon Linnaeus"
"Andropogon Liebmannii", "yes", "1", "Andropogon Linnaeus"
"Andropogon Sect. Andropogon", "yes", "1", "Andropogon Linnaeus"
"Andropogon Sect. Leptopogon", "yes", "1", "Andropogon Linnaeus"
"Anemone Americana", "yes", "28", "Anemone Linnaeus nom. cons., Anemone multiceps (Greene) Standley, Anemone drummondii var. lithophila (Rydberg) C.L. Hitchcock, Anemone drummondii S. Watson var. drummondii, Anemone drummondii S. Watson, Anemone quinquefolia Linnaeus var. quinquefolia, Anemone quinquefolia Linnaeus, Anemone parviflora Michaux, Anemone blanda Schott & Kotschy, Anemone virginiana var. alba (Oakes) Alph. Wood, Anemone cylindrica A. Gray, Anemone virginiana var. cylindroidea B. Boivin, Hepatica americana (de Candolle) Ker Gawler, Anemone lyallii Britton, Anemone piperi Britton ex Rydberg, Anemonastrum richardsonii (Hooker) Mosyakin, Anemonastrum sibiricum (Linnaeus) Holub, Anemone virginiana Linnaeus var. virginiana, Anemone virginiana Linnaeus, Anemone nemorosa Linnaeus, Anemonastrum canadense (Linnaeus) Mosyakin, Anemone ranunculoides Linnaeus, Anemone multifida Poiret var. multifida, Anemone multifida Poiret, Pulsatilla occidentalis (S. Watson) Freyn, Anemone multifida var. saxicola B. Boivin, Pulsatilla nuttalliana (de Candolle) Berchtold ex J. Presl, Enemion biternatum Rafinesque"
"Anomodon Attenuatus", "no", "0", "NA"
"Antennaria Howellii Subsp. Canadensis", "yes", "1", "Antennaria Gaertner"
"Antennaria Parlinii", "yes", "1", "Antennaria Gaertner"
"Antennaria Parlinii Subsp. Parlinii", "yes", "1", "Antennaria Gaertner"
"Antennaria Plantaginifolia", "yes", "1", "Antennaria Gaertner"
"Aplodon Wormskioldii", "no", "0", "NA"
"Aquilegia Canadensis", "yes", "1", "Aquilegia Linnaeus"
"Arabidopsis Arenicola", "yes", "1", "Arabidopsis (de Candolle) Heynhold"
"Arceuthobium Pusillum", "yes", "1", "Arceuthobium Bieberstein"
"Arctanthemum Arcticum Subsp. Polare", "yes", "1", "Arctanthemum (Tzvelev) Tzvelev"
"Arenaria Humifusa", "yes", "8", "Arenaria Linnaeus, Ammophila arenaria (Linnaeus) Link, Ammophila arenaria (Linnaeus) Link subsp. arenaria, Ammophila arenaria (Linnaeus) Link subsp. arenaria, Ammophila arenaria (Linnaeus) Link subsp. arenaria, Festuca rubra subsp. arenaria (Osbeck) F. Areschoug, Plantago indica Linnaeus, Ammophila arenaria (Linnaeus) Link subsp. arenaria"
"Arethusa Bulbosa", "yes", "2", "Arethusa Linnaeus, Arethusa bulbosa Linnaeus"
"Arisaema Triphyllum", "yes", "1", "Arisaema Martius"
"Armeria Maritima Subsp. Sibirica", "yes", "12", "Armeria Willdenow, Armeria maritima subsp. californica (Boissier) A.E. Porsild, Armeria maritima subsp. interior (Raup) A.E. Porsild, Armeria maritima subsp. sibirica (Turczaninow ex Boissier) Nyman, Armeria maritima (Miller) Willdenow, Armeria maritima (Miller) Willdenow subsp. maritima, Atocion armeria (Linnaeus) Rafinesque, Dianthus armeria Linnaeus, Dianthus armeria Linnaeus subsp. armeria, Atocion armeria (Linnaeus) Rafinesque, Stenotus armerioides Nuttall, Stenotus armerioides Nuttall var. armerioides"
"Artemisia Campestris Subsp. Canadensis", "yes", "1", "Artemisia Linnaeus"
"Artemisia Pontica", "yes", "1", "Artemisia Linnaeus"
"Asarum Canadense", "yes", "1", "Asarum Linnaeus"
"Athyrium Filix-Femina Var. Angustum", "yes", "4", "Athyrium Roth, Athyrium filix-femina var. angustum (Willdenow) G. Lawson, Deparia acrostichoides (Swartz) M. Kato, Athyrium filix-femina (Linnaeus) Roth ex Mertens"
"Atrichum Altecristatum", "no", "0", "NA"
"Atrichum Angustatum", "no", "0", "NA"
"Bartsia Alpina", "yes", "4", "Bartsia Linnaeus, Bartsia alpina Linnaeus, Odontites vulgaris Moench, Bellardia viscosa (Linnaeus) Fischer & C.A. Meyer"
"Blysmopsis Rufa", "yes", "2", "Blysmopsis Oteng-Yeboah, Blysmopsis rufa (Hudson) Oteng-Yeboah"
"Boltonia Asteroides", "yes", "3", "Boltonia L’Héritier, Boltonia asteroides (Linnaeus) L’Héritier, Boltonia asteroides var. recognita (Fernald & Griscom) Cronquist"
"Boltonia Asteroides Var. Recognita", "yes", "3", "Boltonia L’Héritier, Boltonia asteroides (Linnaeus) L’Héritier, Boltonia asteroides var. recognita (Fernald & Griscom) Cronquist"
"Botrychium Pallidum", "yes", "1", "Botrychium Swartz"
"Brachythecium Campestre", "no", "0", "NA"
"Brachythecium Laetum", "no", "0", "NA"
"Bromus Kalmii", "yes", "1", "Bromus Linnaeus"
"Bromus Porteri", "yes", "1", "Bromus Linnaeus"
"Bromus Pubescens", "yes", "1", "Bromus Linnaeus"
"Butomus Umbellatus", "yes", "1", "Butomus Linnaeus"
